id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2361, 13.967, 20761,0,  76705,      1,  3539
001,2002,08,2002-08,   4465, 14.816, 20957,0,  97662,      0,  4970
002,2002,09,2002-09,   6902, 14.507, 20637,0, 117217,   1082,  5334
003,2002,10,2002-10,   9533, 12.803, 18302,0, 121219,  14300,  5768
004,2002,11,2002-11,  14236, 13.472, 15096,0, 113891,  22424,  4756
005,2002,12,2002-12,  16287, 12.815, 11477,0,  97647,  27721,  6136
006,2003,01,2003-01,  11383, 12.309, 10187,  12776,  84533,  10525,  6438
007,2003,02,2003-02,   7614, 11.374,  7283,  13453,  64981,  13382,  2989
008,2003,03,2003-03,   5822, 11.054,  6301,   7377,  63825,     80,  3330
009,2003,04,2003-04,   2349, 10.392,  5019,   9602,  52686,   6556,  3816
010,2003,05,2003-05,   1967, 11.096,  4334,0,  56411,    609,  2231
011,2003,06,2003-06,   4433, 12.203,  3772,0,  53974,   6209,  3031
012,2003,07,2003-07,   8740, 14.437,  3701,0,  56645,   1030,  3161
013,2003,08,2003-08,   9553, 14.923,  3450,0,  55315,   4780,  2891
014,2003,09,2003-09,   8818, 14.757,  3220,0,  55847,   2688,  6588
015,2003,10,2003-10,   8408, 14.301,  3146,0,  55648,   3345,  3005
016,2003,11,2003-11,  10502, 13.146,  2988,0,  56369,   2267,  2850
017,2003,12,2003-12,   7291, 13.078,  2737,0,  53945,   5161,  2600
018,2004,01,2004-01,   6826, 12.115,  2234,   7133,  39429,   9617,  2085
019,2004,02,2004-02,   2419, 11.743,  1710,   5485,  31145,   4509,  1357
020,2004,03,2004-03,   1966, 10.897,  1414,   4854,  26929,    776,  1346
021,2004,04,2004-04,    637, 11.037,  1126,   3495,  23922,    638,  1979
022,2004,05,2004-05,   1012, 11.034,  1017,0,  24793,    146,  1018
023,2004,06,2004-06,   1521, 12.089,  1004,0,  25797,      0,  1255
024,2004,07,2004-07,   3838, 14.228,  1020,0,  26621,    196,  1288
025,2004,08,2004-08,   4493, 15.060,  1030,0,  27247,    404,  1134
026,2004,09,2004-09,   4896, 14.596,  1004,0,  27231,   1020,  1216
027,2004,10,2004-10,   6260, 13.760,  1013,0,  28244,      0,  1067
028,2004,11,2004-11,   6418, 13.685,   975,0,  29208,     11,  1125
029,2004,12,2004-12,   6408, 13.437,   978,0,  29490,    696,  1011
030,2005,01,2005-01,   2070, 12.492,   888,   3808,  22610,   3960,   841
031,2005,02,2005-02,   1602, 10.936,   773,   3253,  20130,      0,   866
032,2005,03,2005-03,    327, 10.934,   662,   2773,  18019,      0,   740
033,2005,04,2005-04,    140, 10.597,   545,   2019,  16540,      5,   797
034,2005,05,2005-05,    124, 11.169,   511,0,  17051,      0,   673
035,2005,06,2005-06,    481, 12.155,   529,0,  17576,      4,   657
036,2005,07,2005-07,   2401, 14.320,   522,0,  17727,    371,   734
037,2005,08,2005-08,   2836, 15.136,   480,0,  18207,      0,   716
038,2005,09,2005-09,   2804, 14.997,   491,0,  18698,      0,   678
039,2005,10,2005-10,   2908, 14.142,   512,0,  19210,      0,   766
040,2005,11,2005-11,   3164, 13.522,   495,0,  19705,      0,   677
041,2005,12,2005-12,   3039, 13.274,   526,0,  19553,    678,   885
042,2006,01,2006-01,   1924, 11.915,   516,   2433,  17636,      0,   812
043,2006,02,2006-02,    709, 11.411,   451,   2565,  15522,      0,   700
044,2006,03,2006-03,    239, 11.527,   379,   2138,  13763,      0,   608
045,2006,04,2006-04,     29, 10.317,   349,   1951,  12161,      0,   555
046,2006,05,2006-05,     11, 11.121,   283,0,  12444,      0,   558
047,2006,06,2006-06,    346, 12.097,   312,0,  12756,      0,   471
048,2006,07,2006-07,   1768, 14.309,   405,0,  13161,      0,   492
049,2006,08,2006-08,   1940, 15.085,   518,0,  13679,      0,   545
050,2006,09,2006-09,   2015, 14.829,   629,0,  14308,      0,   588
051,2006,10,2006-10,   2068, 14.211,   714,0,  15022,      0,   602
052,2006,11,2006-11,   2819, 13.664,   894,0,  15916,      0,   544
053,2006,12,2006-12,   3436, 13.536,   979,0,  16895,      0,   472
054,2007,01,2007-01,   2700, 12.264,  1084,   2285,  15694,      0,   526
055,2007,02,2007-02,    312, 11.486,   874,   1748,  13351,   1469,   625
056,2007,03,2007-03,    175, 10.976,   868,   1720,  12499,      0,   497
057,2007,04,2007-04,     70, 10.742,   853,   1930,  11422,      0,   435
058,2007,05,2007-05,    135, 11.337,   797,0,  12219,      0,   483
059,2007,06,2007-06,    211, 12.075,   895,0,  13114,      0,   438
060,2007,07,2007-07,   1126, 13.888,   915,0,  14029,      0,   474
061,2007,08,2007-08,   1808, 14.979,   972,0,  14959,     42,   507
062,2007,09,2007-09,   1898, 14.760,   994,0,  15953,      0,   565
063,2007,10,2007-10,   1968, 13.887,  1105,0,  17058,      0,   641
064,2007,11,2007-11,   2626, 13.796,  1132,0,  18190,      0,   970
065,2007,12,2007-12,   2779, 13.762,  1218,0,  19408,      0,   784
066,2008,01,2008-01,   1963, 12.357,  1307,   2740,  17975,      0,   880
067,2008,02,2008-02,    461, 11.288,  1185,   2013,  17147,      0,   584
068,2008,03,2008-03,    153, 11.491,  1088,   2552,  15410,    273,   719
069,2008,04,2008-04,     27, 10.775,   972,   1793,  14589,      0,   715
070,2008,05,2008-05,     19, 11.482,   831,0,  14995,    425,   748
071,2008,06,2008-06,    176, 11.971,   890,0,  15885,      0,   567
072,2008,07,2008-07,   1978, 14.353,   923,0,  16808,      0,   619
073,2008,08,2008-08,   2560, 14.930,   981,0,  17789,      0,   638
074,2008,09,2008-09,   3547, 14.450,  1018,0,  18807,      0,   630
