id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2302, 13.967, 20362,0,  75849,      0,  3293
001,2002,08,2002-08,   4428, 14.816, 20638,0,  96486,      1,  7021
002,2002,09,2002-09,   6793, 14.507, 20588,0, 116076,    998,  6698
003,2002,10,2002-10,   9732, 12.803, 18901,0, 124991,   9986,  4850
004,2002,11,2002-11,  14214, 13.472, 14797,0, 112692,  27096,  5676
005,2002,12,2002-12,  17363, 12.815, 11287,0,  95553,  28426,  5858
006,2003,01,2003-01,  11914, 12.309,  9598,  14093,  79388,  11670,  5708
007,2003,02,2003-02,   7103, 11.374,  7040,  11336,  62609,  12483,  4221
008,2003,03,2003-03,   6196, 11.054,  6140,   9659,  58789,    301,  4747
009,2003,04,2003-04,   2333, 10.392,  4687,   8491,  50502,   4483,  2740
010,2003,05,2003-05,   1871, 11.096,  4063,0,  54048,    517,  2469
011,2003,06,2003-06,   4486, 12.203,  3678,0,  52127,   5599,  1761
012,2003,07,2003-07,   8932, 14.437,  3594,0,  55201,    520,  1861
013,2003,08,2003-08,   9850, 14.923,  3518,0,  56280,   2439,  1843
014,2003,09,2003-09,   9924, 14.757,  3270,0,  56490,   3060,  1865
015,2003,10,2003-10,   8726, 14.301,  3162,0,  56116,   3536,  3687
016,2003,11,2003-11,  10691, 13.146,  2953,0,  57053,   2016,  2597
017,2003,12,2003-12,   7524, 13.078,  2812,0,  55610,   4255,  2823
018,2004,01,2004-01,   6986, 12.115,  2251,   6081,  41360,  10420,  2748
019,2004,02,2004-02,   2281, 11.743,  1770,   5183,  33117,   4830,  1452
020,2004,03,2004-03,   1900, 10.897,  1581,   4356,  29804,    538,  1360
021,2004,04,2004-04,    646, 11.037,  1276,   4110,  26080,    890,  2257
022,2004,05,2004-05,   1041, 11.034,  1116,0,  26814,    382,  1422
023,2004,06,2004-06,   1581, 12.089,  1161,0,  27975,      0,  1564
024,2004,07,2004-07,   3725, 14.228,  1093,0,  28029,   1039,  1118
