id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2373, 13.967, 20712,0,  76425,      0,  2893
001,2002,08,2002-08,   4526, 14.816, 20855,0,  97278,      2,  3378
002,2002,09,2002-09,   6871, 14.507, 20774,0, 117180,    872,  5788
003,2002,10,2002-10,   9869, 12.803, 19117,0, 127126,   9171,  6116
004,2002,11,2002-11,  13924, 13.472, 15618,0, 119221,  23523,  4500
005,2002,12,2002-12,  16980, 12.815, 12493,0, 106383,  25331,  5253
006,2003,01,2003-01,  12347, 12.309, 11370,  15418,  92813,   9522,  4141
007,2003,02,2003-02,   8143, 11.374,  8127,  12954,  72929,  15057,  2963
008,2003,03,2003-03,   7068, 11.054,  7015,  10308,  68790,    846,  3147
009,2003,04,2003-04,   2700, 10.392,  5443,   8087,  59729,   6417,  3169
010,2003,05,2003-05,   2544, 11.096,  4763,0,  61745,   2747,  2771
011,2003,06,2003-06,   4222, 12.203,  4238,0,  61080,   4903,  2764
012,2003,07,2003-07,   8657, 14.437,  4174,0,  62483,   2771,  2703
013,2003,08,2003-08,   9938, 14.923,  3792,0,  61391,   4884,  2633
014,2003,09,2003-09,  10090, 14.757,  3778,0,  63301,   1868,  2489
015,2003,10,2003-10,  10105, 14.301,  3559,0,  63481,   3379,  2186
016,2003,11,2003-11,  12514, 13.146,  3461,0,  64353,   2589,  2171
017,2003,12,2003-12,   8981, 13.078,  3114,0,  61411,   6056,  2259
018,2004,01,2004-01,   8959, 12.115,  2573,   9077,  44098,  10809,  1610
019,2004,02,2004-02,   2799, 11.743,  1881,   5759,  35228,   4992,  1279
020,2004,03,2004-03,   2180, 10.897,  1655,   4504,  32282,     97,  1567
021,2004,04,2004-04,    730, 11.037,  1432,   4153,  29159,    402,  1103
022,2004,05,2004-05,   1026, 11.034,  1220,0,  29458,    921,  1030
023,2004,06,2004-06,   1610, 12.089,  1202,0,  30546,    114,  1106
024,2004,07,2004-07,   3709, 14.228,  1108,0,  29159,   2495,   983
025,2004,08,2004-08,   4266, 15.060,  1110,0,  30234,     35,   996
026,2004,09,2004-09,   4419, 14.596,  1069,0,  29262,   2041,  1172
027,2004,10,2004-10,   5533, 13.760,  1069,0,  30264,     67,  1219
028,2004,11,2004-11,   5686, 13.685,  1033,0,  30896,    401,  1540
029,2004,12,2004-12,   5593, 13.437,   991,0,  31028,    859,  1352
030,2005,01,2005-01,   2563, 12.492,   957,   3425,  26363,   2197,   949
031,2005,02,2005-02,   2042, 10.936,   786,   3393,  23245,    511,  1002
032,2005,03,2005-03,    456, 10.934,   715,   2501,  21283,    176,   893
033,2005,04,2005-04,    217, 10.597,   625,   3031,  18400,    477,   735
034,2005,05,2005-05,    149, 11.169,   518,0,  18918,      0,   672
035,2005,06,2005-06,    542, 12.155,   567,0,  19433,     52,   683
036,2005,07,2005-07,   2775, 14.320,   550,0,  19761,    222,   649
037,2005,08,2005-08,   3161, 15.136,   535,0,  20296,      0,   751
038,2005,09,2005-09,   3122, 14.997,   554,0,  20843,      7,   745
039,2005,10,2005-10,   3325, 14.142,   561,0,  21404,      0,   852
040,2005,11,2005-11,   3510, 13.522,   544,0,  21948,      0,   937
041,2005,12,2005-12,   3365, 13.274,   511,0,  21604,    855,   770
042,2006,01,2006-01,   2251, 11.915,   551,   2279,  19876,      0,   722
043,2006,02,2006-02,   1014, 11.411,   491,   2182,  18185,      0,   696
044,2006,03,2006-03,    312, 11.527,   435,   2352,  16268,      0,   673
045,2006,04,2006-04,     69, 10.317,   407,   1795,  14880,      0,   615
046,2006,05,2006-05,     20, 11.121,   326,0,  15206,      0,   501
047,2006,06,2006-06,    525, 12.097,   334,0,  15540,      0,   561
048,2006,07,2006-07,   2162, 14.309,   468,0,  16008,      0,   645
049,2006,08,2006-08,   2390, 15.085,   627,0,  16635,      0,   625
050,2006,09,2006-09,   2386, 14.829,   763,0,  17398,      0,   629
051,2006,10,2006-10,   2543, 14.211,   907,0,  18305,      0,   633
052,2006,11,2006-11,   3367, 13.664,  1086,0,  19391,      0,   541
053,2006,12,2006-12,   3884, 13.536,  1214,0,  20604,      1,   554
054,2007,01,2007-01,   3232, 12.264,  1413,   2377,  19640,      0,   631
055,2007,02,2007-02,    360, 11.486,  1214,   3079,  16335,   1440,   616
056,2007,03,2007-03,    263, 10.976,  1086,   2117,  15304,      0,   656
057,2007,04,2007-04,     91, 10.742,  1068,   2104,  14268,      0,   527
058,2007,05,2007-05,    222, 11.337,  1024,0,  15292,      0,   548
059,2007,06,2007-06,    303, 12.075,  1087,0,  16379,      0,   627
060,2007,07,2007-07,   1515, 13.888,  1139,0,  17155,    363,   647
061,2007,08,2007-08,   2137, 14.979,  1168,0,  17648,    675,   597
062,2007,09,2007-09,   2252, 14.760,  1248,0,  18896,      0,   603
063,2007,10,2007-10,   2439, 13.887,  1307,0,  20203,      0,   744
064,2007,11,2007-11,   3044, 13.796,  1430,0,  21633,      0,   724
065,2007,12,2007-12,   3210, 13.762,  1468,0,  23101,      0,   683
066,2008,01,2008-01,   2331, 12.357,  1570,   2524,  22147,      0,   777
067,2008,02,2008-02,    597, 11.288,  1491,   2444,  21194,      0,   777
068,2008,03,2008-03,    172, 11.491,  1343,   3251,  19079,    207,   741
069,2008,04,2008-04,     37, 10.775,  1194,   2567,  17378,    328,   593
070,2008,05,2008-05,     25, 11.482,  1057,0,  18092,    343,   575
071,2008,06,2008-06,    220, 11.971,  1097,0,  19189,      0,   552
072,2008,07,2008-07,   2339, 14.353,  1078,0,  20163,    104,   633
073,2008,08,2008-08,   3106, 14.930,  1131,0,  21294,      0,   661
074,2008,09,2008-09,   4023, 14.450,  1221,0,  22515,      0,   692
075,2008,10,2008-10,   4389, 13.828,  1265,0,  23780,      0,   844
076,2008,11,2008-11,   4244, 13.862,  1317,0,  25097,      0,   773
077,2008,12,2008-12,   4020, 13.366,  1248,0,  23681,   2664,   655
078,2009,01,2009-01,    724, 11.921,  1255,   2778,  21778,    380,   698
079,2009,02,2009-02,    340, 11.559,  1038,   3254,  17281,   2281,   632
080,2009,03,2009-03,     68, 11.473,   838,   2375,  15744,      0,   679
081,2009,04,2009-04,     21, 11.120,   741,   1806,  14679,      0,   629
082,2009,05,2009-05,     46, 11.142,   687,0,  15366,      0,   531
083,2009,06,2009-06,     61, 11.829,   747,0,  16113,      0,   576
084,2009,07,2009-07,    948, 14.012,   802,0,  16915,      0,   576
085,2009,08,2009-08,   1578, 15.400,   808,0,  17719,      4,   584
086,2009,09,2009-09,   2476, 14.540,   839,0,  18558,      0,   604
087,2009,10,2009-10,   2831, 14.145,   858,0,  19416,      0,   660
088,2009,11,2009-11,   3111, 13.443,   828,0,  20244,      0,   672
089,2009,12,2009-12,   3320, 12.924,   892,0,  21116,     20,   631
090,2010,01,2010-01,   2105, 11.710,   900,   2389,  19135,    492,   682
091,2010,02,2010-02,    285, 11.254,   809,   2308,  17635,      1,   711
092,2010,03,2010-03,    134, 11.505,   748,   1909,  16474,      0,   591
093,2010,04,2010-04,     28, 10.703,   623,   2302,  13737,   1058,   547
094,2010,05,2010-05,     25, 11.076,   546,0,  14283,      0,   518
095,2010,06,2010-06,    228, 11.663,   544,0,  14826,      1,   474
096,2010,07,2010-07,   1499, 14.453,   565,0,  15391,      0,   535
097,2010,08,2010-08,   1794, 15.062,   603,0,  15994,      0,   594
098,2010,09,2010-09,   2034, 14.714,   602,0,  16030,    566,   594
099,2010,10,2010-10,   2109, 13.488,   620,0,  16637,     13,   558
100,2010,11,2010-11,   2469, 13.042,   669,0,  17306,      0,   496
101,2010,12,2010-12,   2031, 12.462,   725,0,  17518,    513,   469
102,2011,01,2011-01,   1038, 11.846,   717,   2386,  15849,      0,   504
103,2011,02,2011-02,     76, 11.390,   695,   2015,  13654,    875,   438
104,2011,03,2011-03,     15, 11.090,   620,   2051,  12223,      0,   446
105,2011,04,2011-04,      3, 10.803,   556,   1517,  11262,      0,   347
106,2011,05,2011-05,     35, 11.326,   545,0,  11807,      0,   352
107,2011,06,2011-06,    829, 11.358,   573,0,  12380,      0,   382
108,2011,07,2011-07,   1269, 14.707,   602,0,  12982,      0,   448
109,2011,08,2011-08,   1836, 14.824,   638,0,  13620,      0,   502
110,2011,09,2011-09,   2621, 14.442,   685,0,  14305,      0,   493
111,2011,10,2011-10,   2938, 13.840,   709,0,  15014,      0,   474
112,2011,11,2011-11,   3498, 12.889,   790,0,  15804,      0,   522
113,2011,12,2011-12,   3310, 13.548,   858,0,  16662,      0,   511
114,2012,01,2012-01,   2829, 12.133,   939,   2474,  15127,      0,   501
115,2012,02,2012-02,    121, 11.403,   859,   1642,  14344,      0,   518
116,2012,03,2012-03,     45, 11.139,   876,   1894,  13326,      0,   447
117,2012,04,2012-04,     19, 11.034,   759,   1614,  12471,      0,   409
118,2012,05,2012-05,      1, 11.014,   698,0,  13169,      0,   496
119,2012,06,2012-06,     55, 11.887,   774,0,  13943,      0,   553
120,2012,07,2012-07,   2086, 14.541,   772,0,  14715,      0,   535
121,2012,08,2012-08,   3154, 14.771,   830,0,  15497,     48,   534
122,2012,09,2012-09,   3524, 14.612,   870,0,  16367,      0,   572
123,2012,10,2012-10,   3782, 13.551,   903,0,  17270,      0,   571
124,2012,11,2012-11,   5114, 13.552,   944,0,  18214,      0,   541
125,2012,12,2012-12,   3950, 13.134,   987,0,  18899,    302,   538
126,2013,01,2013-01,    564, 11.930,  1035,   2334,  17587,     13,   542
127,2013,02,2013-02,     84, 11.439,   912,   2137,  16251,    111,   477
128,2013,03,2013-03,     17, 11.275,   900,   1942,  14803,    406,   490
129,2013,04,2013-04,      6, 10.633,   815,   1750,  13868,      0,   519
130,2013,05,2013-05,      3, 11.289,   725,0,  14593,      0,   509
131,2013,06,2013-06,     20, 11.941,   743,0,  15336,      0,   445
132,2013,07,2013-07,   1441, 13.804,   782,0,  16060,     58,   482
133,2013,08,2013-08,   1863, 14.769,   666,0,  13857,   2869,   514
134,2013,09,2013-09,   2018, 14.443,   762,0,  14619,      0,   467
135,2013,10,2013-10,   2464, 14.107,   764,0,  15383,      0,   568
136,2013,11,2013-11,   2718, 13.716,   757,0,  16140,      0,   517
137,2013,12,2013-12,   2974, 13.629,   808,0,  16948,      0,   467
138,2014,01,2014-01,    488, 12.255,   820,   2420,  15348,      0,   587
139,2014,02,2014-02,    311, 11.556,   755,   1914,  14189,      0,   481
140,2014,03,2014-03,     42, 11.041,   714,   1849,  13054,      0,   428
141,2014,04,2014-04,     27, 10.772,   658,   1671,  12041,      0,   433
142,2014,05,2014-05,     34, 11.170,   605,0,  12646,      0,   374
143,2014,06,2014-06,    612, 12.458,   612,0,  13258,      0,   452
144,2014,07,2014-07,   1516, 14.514,   616,0,  13874,      0,   429
145,2014,08,2014-08,   1739, 14.905,   658,0,  14532,      0,   476
146,2014,09,2014-09,   2065, 15.011,   655,0,  15187,      0,   484
147,2014,10,2014-10,   1933, 13.780,   686,0,  15873,      0,   474
148,2014,11,2014-11,   3324, 13.568,   746,0,  16618,      1,   455
149,2014,12,2014-12,   3598, 13.435,   736,0,  17354,      0,   510
150,2015,01,2015-01,   3282, 12.260,   782,   2402,  15669,     65,   514
151,2015,02,2015-02,    253, 11.828,   725,   2414,  13600,    380,   520
152,2015,03,2015-03,     91, 11.086,   631,   1728,  12503,      0,   447
153,2015,04,2015-04,     33, 10.418,   584,   1951,  11136,      0,   427
154,2015,05,2015-05,     33, 11.084,   553,0,  11689,      0,   393
155,2015,06,2015-06,    377, 11.558,   567,0,  12256,      0,   430
156,2015,07,2015-07,    816, 13.883,   600,0,  12856,      0,   371
157,2015,08,2015-08,   1558, 14.983,   617,0,  13473,      0,   395
158,2015,09,2015-09,   2924, 14.399,   655,0,  14128,      0,   444
159,2015,10,2015-10,   2661, 13.470,   696,0,  14824,      0,   501
160,2015,11,2015-11,   4389, 13.463,   703,0,  15527,      0,   698
161,2015,12,2015-12,   3529, 13.639,   756,0,  16283,      0,   655
162,2016,01,2016-01,   1694, 12.304,   800,   1889,  15194,      0,   476
163,2016,02,2016-02,    862, 11.089,   746,   1978,  13818,    144,   489
164,2016,03,2016-03,    105, 9.496 ,  678 ,  1846 , 12650 ,     0 ,  419m
