id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2309, 13.967, 20689,0,  76247,      1,  3764
001,2002,08,2002-08,   4223, 14.816, 20634,0,  96880,      1,  3340
002,2002,09,2002-09,   6803, 14.507, 20647,0, 116587,    940,  3098
003,2002,10,2002-10,   9460, 12.803, 20900,0, 137478,      9,  4086
004,2002,11,2002-11,  13247, 13.472, 20884,0, 157613,    749,  5896
005,2002,12,2002-12,  15579, 12.815, 19895,0, 170378,   7130,  6694
006,2003,01,2003-01,  17146, 12.309, 19755,  26464, 161615,   2054,  7863
007,2003,02,2003-02,  16413, 11.374, 16898,  24682, 151874,   1957,  9356
008,2003,03,2003-03,  15132, 11.054, 14495,  24419, 141891,     59, 11810
009,2003,04,2003-04,  10088, 10.392, 12249,  15854, 135434,   2852,  6726
010,2003,05,2003-05,   9859, 11.096, 11148,0, 146132,    450,  8861
011,2003,06,2003-06,  14276, 12.203, 11142,0, 156883,    391,  8500
012,2003,07,2003-07,  21219, 14.437, 11173,0, 166776,   1280,  6756
013,2003,08,2003-08,  25453, 14.923, 10359,0, 167697,   9438, 10489
014,2003,09,2003-09,  25338, 14.757, 10515,0, 176344,   1868,  8217
015,2003,10,2003-10,  32420, 14.301, 10099,0, 179008,   7435,  7787
016,2003,11,2003-11,  35395, 13.146,  9739,0, 181073,   7674, 10690
017,2003,12,2003-12,  31035, 13.078,  9223,0, 180658,   9638,  8481
018,2004,01,2004-01,  28352, 12.115,  8838,  19386, 162633,   7477,  6176
019,2004,02,2004-02,  24571, 11.743,  7923,  20579, 147197,   2780,  6196
020,2004,03,2004-03,  15608, 10.897,  6972,  21459, 132386,    324,  6292
021,2004,04,2004-04,  12724, 11.037,  6034,  15581, 122818,     21,  5393
022,2004,05,2004-05,   8109, 11.034,  5245,0, 127635,    428,  4661
023,2004,06,2004-06,  12241, 12.089,  5345,0, 131785,   1195,  5121
024,2004,07,2004-07,  17642, 14.228,  4969,0, 127568,   9186,  4909
025,2004,08,2004-08,  19635, 15.060,  4949,0, 128165,   4352,  4767
026,2004,09,2004-09,  21782, 14.596,  4840,0, 133003,      2,  4781
027,2004,10,2004-10,  23839, 13.760,  4928,0, 137607,    324,  4498
028,2004,11,2004-11,  25579, 13.685,  4853,0, 141268,   1192,  5026
029,2004,12,2004-12,  23121, 13.437,  4596,0, 134916,  10948,  4445
030,2005,01,2005-01,  19686, 12.492,  4520,  20332, 117487,   1617,  4855
031,2005,02,2005-02,  18501, 10.936,  3837,  13353, 105785,   2186,  3801
032,2005,03,2005-03,   7452, 10.934,  3499,  14197,  95018,     69,  3929
033,2005,04,2005-04,   7980, 10.597,  3019,  10179,  87651,    207,  3960
034,2005,05,2005-05,   3063, 11.169,  2676,0,  90120,    207,  7321
035,2005,06,2005-06,   8063, 12.155,  2687,0,  91263,   1544,  3451
036,2005,07,2005-07,  11571, 14.320,  2630,0,  92978,    915,  3674
037,2005,08,2005-08,  13196, 15.136,  2668,0,  95643,      3,  3285
038,2005,09,2005-09,  13662, 14.997,  2726,0,  97148,   1221,  3781
039,2005,10,2005-10,  14211, 14.142,  2671,0,  99778,     41,  4269
040,2005,11,2005-11,  16187, 13.522,  2705,0, 102460,     23,  3887
041,2005,12,2005-12,  15664, 13.274,  2629,0, 102653,   2436,  4005
042,2006,01,2006-01,  11828, 11.915,  2716,  12273,  93095,      1,  3917
043,2006,02,2006-02,  10293, 11.411,  2279,  10088,  85277,      9,  3407
044,2006,03,2006-03,   4663, 11.527,  2092,  10482,  76887,      0,  3372
045,2006,04,2006-04,   3630, 10.317,  1872,  11413,  67346,      0,  3003
046,2006,05,2006-05,   1893, 11.121,  1640,0,  68985,      1,  2618
047,2006,06,2006-06,   4874, 12.097,  1618,0,  70603,      0,  2982
048,2006,07,2006-07,   7282, 14.309,  2218,0,  72817,      4,  2744
049,2006,08,2006-08,   8630, 15.085,  2868,0,  75667,     18,  3073
050,2006,09,2006-09,   9067, 14.829,  3463,0,  78990,    140,  3245
051,2006,10,2006-10,  11123, 14.211,  4053,0,  83034,      9,  4421
052,2006,11,2006-11,  13177, 13.664,  4601,0,  87635,      0,  5095
053,2006,12,2006-12,  14194, 13.536,  5195,0,  92481,    349,  3515
054,2007,01,2007-01,  12991, 12.264,  5759,  13968,  84147,    125,  3779
055,2007,02,2007-02,   6891, 11.486,  5480,   9668,  79349,    610,  4308
056,2007,03,2007-03,   6749, 10.976,  5453,  11482,  73320,      0,  2993
057,2007,04,2007-04,   3511, 10.742,  5079,  11305,  67094,      0,  4821
058,2007,05,2007-05,   4391, 11.337,  4689,0,  71783,      0,  6206
059,2007,06,2007-06,   4485, 12.075,  4947,0,  76730,      0,  3685
060,2007,07,2007-07,   8938, 13.888,  5360,0,  81991,     99,  3778
061,2007,08,2007-08,  11248, 14.979,  5677,0,  87255,    413,  3677
062,2007,09,2007-09,  13310, 14.760,  5977,0,  92239,    993,  4031
063,2007,10,2007-10,  13961, 13.887,  6300,0,  98254,    285,  3319
064,2007,11,2007-11,  15798, 13.796,  6659,0, 104459,    454,  4582
065,2007,12,2007-12,  15017, 13.762,  6782,0, 107646,   3595,  3414
066,2008,01,2008-01,  13891, 12.357,  7058,  16727,  97380,    597,  4692
067,2008,02,2008-02,   7234, 11.288,  6174,  14041,  87582,   1931,  3105
068,2008,03,2008-03,   4951, 11.491,  5471,   9621,  82090,   1342,  2858
069,2008,04,2008-04,   2964, 10.775,  5178,  11887,  75379,      2,  3656
070,2008,05,2008-05,   2062, 11.482,  4660,0,  79796,    243,  2882
071,2008,06,2008-06,   4226, 11.971,  4856,0,  84396,    256,  2499
072,2008,07,2008-07,   9442, 14.353,  5132,0,  88920,    608,  2821
073,2008,08,2008-08,  10833, 14.930,  5269,0,  94085,    104,  3510
074,2008,09,2008-09,  13943, 14.450,  5495,0,  99225,    355,  3249
075,2008,10,2008-10,  14557, 13.828,  5488,0, 103118,   1595,  2986
076,2008,11,2008-11,  16197, 13.862,  5622,0, 105689,   3051,  3105
077,2008,12,2008-12,  12143, 13.366,  5546,0, 107830,   3405,  3091
078,2009,01,2009-01,   9861, 11.921,  5559,  16638,  92442,   4309,  3255
079,2009,02,2009-02,   7829, 11.559,  4643,  11335,  81958,   3792,  3206
080,2009,03,2009-03,   3165, 11.473,  4180,   9344,  76794,      0,  3851
081,2009,04,2009-04,   3235, 11.120,  3847,   8124,  72473,     44,  4141
082,2009,05,2009-05,   1747, 11.142,  3653,0,  76126,      0,  3324
083,2009,06,2009-06,   2952, 11.829,  3654,0,  78835,    945,  2890
084,2009,07,2009-07,   5742, 14.012,  3695,0,  81576,    954,  2813
085,2009,08,2009-08,   7761, 15.400,  3789,0,  84615,    750,  2391
086,2009,09,2009-09,  11130, 14.540,  3873,0,  87876,    612,  2206
087,2009,10,2009-10,  11278, 14.145,  3951,0,  90617,   1210,  2531
088,2009,11,2009-11,  14044, 13.443,  3993,0,  94071,    539,  2416
089,2009,12,2009-12,  12568, 12.924,  4026,0,  95436,   2661,  2111
090,2010,01,2010-01,   9592, 11.710,  4141,  14250,  85325,      2,  2202
091,2010,02,2010-02,   6557, 11.254,  3695,  11546,  77474,      0,  2325
092,2010,03,2010-03,   3312, 11.505,  3218,   9101,  71591,      0,  2073
093,2010,04,2010-04,   2187, 10.703,  2938,   7680,  66382,    467,  1822
094,2010,05,2010-05,   1883, 11.076,  2678,0,  69036,     24,  1864
095,2010,06,2010-06,   3477, 11.663,  2701,0,  71737,      0,  2803
096,2010,07,2010-07,   6400, 14.453,  2855,0,  74528,     64,  1780
097,2010,08,2010-08,   8237, 15.062,  2889,0,  77402,     15,  1740
098,2010,09,2010-09,   9222, 14.714,  3024,0,  78511,   1915,  1989
099,2010,10,2010-10,   9985, 13.488,  3125,0,  81397,    239,  2724
100,2010,11,2010-11,  12807, 13.042,  3387,0,  84784,      0,  1921
101,2010,12,2010-12,   9667, 12.462,  3497,0,  87825,    456,  1914
102,2011,01,2011-01,   8158, 11.846,  3770,  11073,  80513,      9,  2538
103,2011,02,2011-02,   3969, 11.390,  3431,   9473,  73418,   1053,  2938
104,2011,03,2011-03,   2549, 11.090,  3299,  10280,  66435,      2,  2325
105,2011,04,2011-04,   1361, 10.803,  3029,   8642,  60822,      0,  2038
106,2011,05,2011-05,   2017, 11.326,  2825,0,  63647,      0,  2805
107,2011,06,2011-06,   3665, 11.358,  2922,0,  66569,      0,  1785
108,2011,07,2011-07,   5970, 14.707,  3213,0,  69782,      0,  2126
109,2011,08,2011-08,   8156, 14.824,  3457,0,  73237,      2,  2002
110,2011,09,2011-09,   9353, 14.442,  3667,0,  76904,      0,  3576
111,2011,10,2011-10,  11665, 13.840,  3919,0,  80821,      2,  2257
112,2011,11,2011-11,  11489, 12.889,  4073,0,  84152,    742,  3416
113,2011,12,2011-12,  12251, 13.548,  4392,0,  88489,     55,  3202
114,2012,01,2012-01,   9329, 12.133,  4719,  13161,  80011,     36,  3974
115,2012,02,2012-02,   6527, 11.403,  4309,  10284,  74036,      0,  3699
116,2012,03,2012-03,   3562, 11.139,  4035,   9014,  69057,      0,  2322
117,2012,04,2012-04,   3102, 11.034,  3803,  10689,  62171,      0,  1753
118,2012,05,2012-05,   1563, 11.014,  3426,0,  65596,      1,  1572
119,2012,06,2012-06,   2546, 11.887,  3563,0,  69159,      0,  1996
120,2012,07,2012-07,   6269, 14.541,  3830,0,  72988,      1,  3129
121,2012,08,2012-08,   8802, 14.771,  4067,0,  76985,     70,  3970
122,2012,09,2012-09,  11164, 14.612,  4337,0,  81322,      0,  2499
123,2012,10,2012-10,  12039, 13.551,  4494,0,  85783,     33,  1876
124,2012,11,2012-11,  13160, 13.552,  4756,0,  90537,      2,  1872
125,2012,12,2012-12,  12180, 13.134,  5001,0,  95361,    177,  1722
126,2013,01,2013-01,   7913, 11.930,  5247,  13824,  85173,   1611,  1818
127,2013,02,2013-02,   6034, 11.439,  4641,  13385,  76417,     12,  1664
128,2013,03,2013-03,   3207, 11.275,  4143,   9689,  70867,      4,  1486
129,2013,04,2013-04,   2283, 10.633,  3834,  10617,  64084,      0,  1555
130,2013,05,2013-05,    884, 11.289,  3526,0,  67609,      1,  1361
131,2013,06,2013-06,   1625, 11.941,  3648,0,  71257,      0,  1363
132,2013,07,2013-07,   3901, 13.804,  3787,0,  74857,    187,  1434
133,2013,08,2013-08,   6497, 14.769,  4004,0,  78861,      0,  2307
134,2013,09,2013-09,   8784, 14.443,  3977,0,  79774,   3064,  2458
135,2013,10,2013-10,  10212, 14.107,  4147,0,  83921,      0,  2177
136,2013,11,2013-11,  12334, 13.716,  4308,0,  88229,      0,  2053
137,2013,12,2013-12,  12161, 13.629,  4535,0,  92654,    110,  1826
138,2014,01,2014-01,   7935, 12.255,  4670,  10305,  85536,   1483,  2451
139,2014,02,2014-02,   7705, 11.556,  4358,  11913,  77933,     48,  2100
140,2014,03,2014-03,   4285, 11.041,  3921,   9390,  72464,      0,  3056
141,2014,04,2014-04,   2959, 10.772,  3572,   9720,  66316,      0,  1986
142,2014,05,2014-05,   2507, 11.170,  3337,0,  69650,      3,  1758
143,2014,06,2014-06,   4336, 12.458,  3414,0,  73064,      0,  1367
144,2014,07,2014-07,   7137, 14.514,  3461,0,  75251,   1274,  1507
145,2014,08,2014-08,   8539, 14.905,  3674,0,  78904,     21,  1681
146,2014,09,2014-09,  10573, 15.011,  3688,0,  81376,   1216,  1700
147,2014,10,2014-10,  11709, 13.780,  3866,0,  85165,     77,  1873
148,2014,11,2014-11,  13846, 13.568,  4005,0,  88734,    436,  1567
149,2014,12,2014-12,  14499, 13.435,  4138,0,  92842,     30,  1781
150,2015,01,2015-01,  13328, 12.260,  4310,  10502,  85145,   1505,  1610
151,2015,02,2015-02,   8754, 11.828,  3903,  11962,  77085,      1,  1877
152,2015,03,2015-03,   7313, 11.086,  3678,   8259,  72504,      0,  1664
153,2015,04,2015-04,   3741, 10.418,  3421,   9566,  66359,      0,  1934
154,2015,05,2015-05,   3024, 11.084,  3110,0,  69456,     13,  1891
155,2015,06,2015-06,   4705, 11.558,  3322,0,  72778,      0,  1528
156,2015,07,2015-07,   7320, 13.883,  3280,0,  72759,   3299,  2574
157,2015,08,2015-08,   9606, 14.983,  3452,0,  76209,      2,  1548
158,2015,09,2015-09,  11674, 14.399,  3521,0,  79710,     20,  2558
159,2015,10,2015-10,  12537, 13.470,  3801,0,  83478,     33,  1651
160,2015,11,2015-11,  14548, 13.463,  3907,0,  87235,    150,  2332
161,2015,12,2015-12,  13180, 13.639,  4151,0,  91386,      0,  1871
162,2016,01,2016-01,  11314, 12.304,  4386,  14049,  81093,    630,  2627
163,2016,02,2016-02,   8893, 11.089,  3889,   8527,  76455,      0,  2440
164,2016,03,2016-03,   5169, 9.496 , 3671 , 10803 , 69323 ,     0 , 2127m
165,2016,04,2016-04,   4059, 9.294 , 3350 ,  7386 , 65287 ,     0 , 1381m
166,2016,05,2016-05,   1932, 9.891 , 3097 ,0, 68383 ,     1 , 1335m
167,2016,06,2016-06,   4590, 11.309,  3365,0,  71748,      0,  1311
168,2016,07,2016-07,   9018, 13.456,  3571,0,  75306,     13,  1414
169,2016,08,2016-08,  10398, 14.454,  3729,0,  78694,    341,  2899
170,2016,09,2016-09,  11220, 13.926,  3788,0,  79259,   3223,  2265
171,2016,10,2016-10,  12367, 12.653,  3970,0,  83226,      3,  2126
172,2016,11,2016-11,  13952, 12.232,  4239,0,  87439,     26,  2055
173,2016,12,2016-12,  13010, 12.062,  4412,0,  91849,      2,  1534
174,2017,01,2017-01,  10753, 10.739,  4612,  13034,  80906,   2521,  2043
175,2017,02,2017-02,   8081, 9.490 , 4119 , 10157 , 74868 ,     0 , 1961m
176,2017,03,2017-03,   3955, 9.267 , 3858 ,  8532 , 70190 ,     4 , 2422m
177,2017,04,2017-04,   3029, 10.395,  3656,   9401,  64439,      6,  1645
178,2017,05,2017-05,   2470, 11.208,  3286,0,  67543,    182,  2069
179,2017,06,2017-06,   4417, 11.882,  3491,0,  71033,      1,  1726
180,2017,07,2017-07,  10019, 13.700,  3649,0,  74358,    324,  1166
181,2017,08,2017-08,  11029, 14.717,  3872,0,  78137,     93,  1251
182,2017,09,2017-09,  12378, 14.294,  4130,0,  82161,    106,  2023
183,2017,10,2017-10,  13126, 13.250,  4149,0,  85021,   1289,  1883
184,2017,11,2017-11,  14254, 13.189,  4415,0,  89434,      2,  1817
185,2017,12,2017-12,  13736, 13.126,  4591,0,  94025,      0,  3270
186,2018,01,2018-01,  10119, 12.083,  4878,  10766,  86464,   1673,  2191
