id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2209, 13.967, 16759,0,  62379,   4835,  3368
001,2002,08,2002-08,   3256, 14.816, 15501,0,  72575,   5305,  4907
002,2002,09,2002-09,   4589, 14.507, 14321,0,  80950,   5946,  3972
003,2002,10,2002-10,   5805, 12.803, 13453,0,  88588,   5815,  4252
004,2002,11,2002-11,   6865, 13.472, 12644,0,  95680,   5552,  5175
005,2002,12,2002-12,   7846, 12.815, 11260,0,  95891,  11049,  4017
006,2003,01,2003-01,   8289, 12.309, 10600,  15017,  86728,   4746,  4436
007,2003,02,2003-02,   7535, 11.374,  8741,  12772,  78248,   4449,  5108
008,2003,03,2003-03,   6843, 11.054,  7126,  11255,  70042,   4077,  2410
009,2003,04,2003-04,   6072, 10.392,  5820,  10803,  61279,   3780,  2153
010,2003,05,2003-05,   5242, 11.096,  4743,0,  62246,   3776,  2174
011,2003,06,2003-06,   5623, 12.203,  4453,0,  62799,   3900,  2463
012,2003,07,2003-07,   6450, 14.437,  4194,0,  62689,   4304,  2940
013,2003,08,2003-08,   6864, 14.923,  3890,0,  62147,   4432,  3011
014,2003,09,2003-09,   6779, 14.757,  3761,0,  62488,   3420,  4177
015,2003,10,2003-10,   7378, 14.301,  3504,0,  62891,   3101,  3452
016,2003,11,2003-11,   7885, 13.146,  3406,0,  63173,   3124,  2563
017,2003,12,2003-12,   7866, 13.078,  3201,0,  62837,   3537,  3084
018,2004,01,2004-01,   8086, 12.115,  3053,   6945,  56315,   2630,  3856
019,2004,02,2004-02,   6488, 11.743,  2617,   7226,  49439,   2267,  2279
020,2004,03,2004-03,   5534, 10.897,  2244,   7389,  42137,   2157,  3118
021,2004,04,2004-04,   4298, 11.037,  1814,   4676,  37373,   1902,  1600
022,2004,05,2004-05,   3702, 11.034,  1556,0,  37161,   1768,  1366
023,2004,06,2004-06,   3838, 12.089,  1476,0,  36799,   1838,  1125
024,2004,07,2004-07,   4161, 14.228,  1407,0,  35897,   2309,  1065
025,2004,08,2004-08,   4424, 15.060,  1318,0,  35097,   2118,  1001
026,2004,09,2004-09,   4631, 14.596,  1292,0,  34680,   1709,  1060
027,2004,10,2004-10,   4786, 13.760,  1227,0,  34294,   1613,  1219
028,2004,11,2004-11,   4733, 13.685,  1190,0,  34054,   1430,  1309
029,2004,12,2004-12,   4690, 13.437,  1138,0,  33725,   1467,  1868
030,2005,01,2005-01,   4329, 12.492,  1057,   4403,  29213,   1166,  1365
031,2005,02,2005-02,   3628, 10.936,   903,   3809,  25155,   1152,  1050
032,2005,03,2005-03,   2816, 10.934,   755,   2646,  22253,   1011,   790
033,2005,04,2005-04,   2346, 10.597,   688,   2990,  19108,    843,   628
034,2005,05,2005-05,   1893, 11.169,   556,0,  18896,    768,   766
035,2005,06,2005-06,   1865, 12.155,   515,0,  18584,    827,   643
036,2005,07,2005-07,   2103, 14.320,   485,0,  18067,   1002,   638
037,2005,08,2005-08,   2206, 15.136,   492,0,  17455,   1104,   665
038,2005,09,2005-09,   2352, 14.997,   465,0,  17000,    920,   633
039,2005,10,2005-10,   2397, 14.142,   432,0,  16719,    713,   633
040,2005,11,2005-11,   2426, 13.522,   439,0,  16508,    650,   531
041,2005,12,2005-12,   2489, 13.274,   408,0,  16287,    629,   500
042,2006,01,2006-01,   2139, 11.915,   385,   2474,  13624,    574,   698
043,2006,02,2006-02,   1741, 11.411,   314,   1868,  11581,    489,   476
044,2006,03,2006-03,   1266, 11.527,   279,   1355,  10114,    391,   587
045,2006,04,2006-04,   1048, 10.317,   231,   1120,   8839,    386,   382
046,2006,05,2006-05,    882, 11.121,   190,0,   8668,    361,   306
047,2006,06,2006-06,    857, 12.097,   200,0,   8520,    348,   308
048,2006,07,2006-07,    923, 14.309,   245,0,   8286,    479,   396
049,2006,08,2006-08,    976, 15.085,   296,0,   8075,    507,   294
050,2006,09,2006-09,   1005, 14.829,   335,0,   8017,    393,   270
051,2006,10,2006-10,   1060, 14.211,   390,0,   8092,    315,   254
052,2006,11,2006-11,   1108, 13.664,   401,0,   8226,    267,   218
053,2006,12,2006-12,   1175, 13.536,   430,0,   8347,    309,   248
054,2007,01,2007-01,   1145, 12.264,   510,   1073,   7502,    282,   250
055,2007,02,2007-02,    909, 11.486,   465,    892,   6795,    280,   235
056,2007,03,2007-03,    802, 10.976,   421,   1047,   5943,    226,   226
057,2007,04,2007-04,    631, 10.742,   414,    647,   5532,    178,   295
058,2007,05,2007-05,    570, 11.337,   388,0,   5699,    221,   197
059,2007,06,2007-06,    606, 12.075,   369,0,   5833,    235,   224
060,2007,07,2007-07,    734, 13.888,   389,0,   5957,    265,   258
061,2007,08,2007-08,    760, 14.979,   438,0,   6063,    332,   240
062,2007,09,2007-09,    797, 14.760,   400,0,   6178,    285,   385
063,2007,10,2007-10,    845, 13.887,   426,0,   6381,    223,   210
064,2007,11,2007-11,    910, 13.796,   428,0,   6620,    189,   230
065,2007,12,2007-12,    927, 13.762,   422,0,   6845,    197,   212
066,2008,01,2008-01,    944, 12.357,   425,   1053,   6035,    182,   238
067,2008,02,2008-02,    758, 11.288,   369,    780,   5437,    187,   199
068,2008,03,2008-03,    653, 11.491,   343,    578,   5037,    165,   199
069,2008,04,2008-04,    539, 10.775,   318,    696,   4486,    173,   174
070,2008,05,2008-05,    436, 11.482,   282,0,   4619,    149,   169
071,2008,06,2008-06,    487, 11.971,   243,0,   4680,    182,   189
072,2008,07,2008-07,    537, 14.353,   251,0,   4693,    238,   253
073,2008,08,2008-08,    600, 14.930,   267,0,   4710,    250,   190
074,2008,09,2008-09,    641, 14.450,   248,0,   4763,    195,   187
075,2008,10,2008-10,    690, 13.828,   253,0,   4820,    196,   179
076,2008,11,2008-11,    704, 13.862,   246,0,   4907,    159,   179
077,2008,12,2008-12,    668, 13.366,   245,0,   4986,    166,   183
078,2009,01,2009-01,    622, 11.921,   255,    645,   4439,    157,   176
079,2009,02,2009-02,    532, 11.559,   212,    607,   3900,    144,   182
080,2009,03,2009-03,    421, 11.473,   226,    560,   3443,    123,   173
081,2009,04,2009-04,    340, 11.120,   178,    460,   3055,    106,   152
082,2009,05,2009-05,    267, 11.142,   139,0,   3070,    124,   133
083,2009,06,2009-06,    281, 11.829,   163,0,   3121,    112,   116
084,2009,07,2009-07,    337, 14.012,   131,0,   3129,    123,   132
085,2009,08,2009-08,    360, 15.400,   139,0,   3109,    159,   155
086,2009,09,2009-09,    404, 14.540,   148,0,   3125,    132,   130
087,2009,10,2009-10,    437, 14.145,   132,0,   3149,    108,   210
088,2009,11,2009-11,    422, 13.443,   132,0,   3192,     89,   159
089,2009,12,2009-12,    435, 12.924,   136,0,   3231,     97,   111
090,2010,01,2010-01,    451, 11.710,   140,    494,   2761,    116,   143
091,2010,02,2010-02,    358, 11.254,   108,    307,   2452,    110,   132
092,2010,03,2010-03,    260, 11.505,   107,    371,   2102,     86,    91
093,2010,04,2010-04,    207, 10.703,    90,    262,   1863,     67,    92
094,2010,05,2010-05,    187, 11.076,    75,0,   1879,     59,   114
095,2010,06,2010-06,    168, 11.663,    96,0,   1890,     85,   127
096,2010,07,2010-07,    198, 14.453,    71,0,   1851,    110,   123
097,2010,08,2010-08,    213, 15.062,    80,0,   1807,    124,   132
098,2010,09,2010-09,    212, 14.714,    80,0,   1796,     91,   116
099,2010,10,2010-10,    238, 13.488,    74,0,   1800,     70,   227
100,2010,11,2010-11,    243, 13.042,    71,0,   1808,     63,   171
101,2010,12,2010-12,    228, 12.462,    70,0,   1794,     84,   145
102,2011,01,2011-01,    209, 11.846,    73,    244,   1544,     79,   115
103,2011,02,2011-02,    149, 11.390,    57,    183,   1371,     47,   141
104,2011,03,2011-03,    131, 11.090,    55,    168,   1209,     49,   157
105,2011,04,2011-04,    126, 10.803,    44,    162,   1055,     36,   114
106,2011,05,2011-05,     95, 11.326,    39,0,   1052,     42,    94
107,2011,06,2011-06,    112, 11.358,    39,0,   1033,     58,    84
108,2011,07,2011-07,    124, 14.707,    44,0,   1023,     54,   104
109,2011,08,2011-08,    147, 14.824,    54,0,   1018,     59,   120
110,2011,09,2011-09,    151, 14.442,    57,0,   1033,     42,   114
111,2011,10,2011-10,    150, 13.840,    58,0,   1052,     39,    78
112,2011,11,2011-11,    148, 12.889,    65,0,   1072,     45,    70
113,2011,12,2011-12,    159, 13.548,    53,0,   1091,     34,    74
114,2012,01,2012-01,    132, 12.133,    44,    159,    941,     35,    91
115,2012,02,2012-02,    115, 11.403,    55,    138,    838,     20,    73
116,2012,03,2012-03,    102, 11.139,    52,    128,    738,     24,    80
117,2012,04,2012-04,     85, 11.034,    48,     95,    673,     18,   121
118,2012,05,2012-05,     71, 11.014,    39,0,    685,     27,    82
119,2012,06,2012-06,     79, 11.887,    39,0,    699,     25,    70
120,2012,07,2012-07,     79, 14.541,    39,0,    716,     22,    79
121,2012,08,2012-08,     89, 14.771,    47,0,    728,     35,    74
122,2012,09,2012-09,     87, 14.612,    46,0,    750,     24,    77
123,2012,10,2012-10,    107, 13.551,    43,0,    767,     26,    68
124,2012,11,2012-11,    118, 13.552,    40,0,    771,     36,    64
125,2012,12,2012-12,    116, 13.134,    46,0,    798,     19,    65
126,2013,01,2013-01,    101, 11.930,    46,    111,    709,     24,    62
127,2013,02,2013-02,     73, 11.439,    27,     94,    624,     18,    51
