id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2335, 13.967, 20677,0,  76607,      0,  2452
001,2002,08,2002-08,   4452, 14.816, 20852,0,  97458,      1,  5009
002,2002,09,2002-09,   6969, 14.507, 20591,0, 115688,   2361,  4829
003,2002,10,2002-10,   9852, 12.803, 17908,0, 118645,  14951,  4892
004,2002,11,2002-11,  14179, 13.472, 14001,0, 106029,  26617,  6821
005,2002,12,2002-12,  17047, 12.815, 10526,0,  89215,  27340,  4113
006,2003,01,2003-01,   9578, 12.309,  9227,  12814,  75562,  10066,  3706
007,2003,02,2003-02,   6495, 11.374,  6582,   9775,  59992,  12377,  3450
008,2003,03,2003-03,   4908, 11.054,  5710,   7826,  56992,    884,  3303
009,2003,04,2003-04,   2173, 10.392,  4610,   6627,  50251,   4724,  2376
010,2003,05,2003-05,   1791, 11.096,  3934,0,  52321,   1864,  2448
011,2003,06,2003-06,   4008, 12.203,  3612,0,  49562,   6371,  1743
012,2003,07,2003-07,   8597, 14.437,  3508,0,  52058,   1012,  1792
013,2003,08,2003-08,   9123, 14.923,  3328,0,  53203,   2183,  2275
014,2003,09,2003-09,   9151, 14.757,  3176,0,  52575,   3804,  2570
015,2003,10,2003-10,   7599, 14.301,  3068,0,  54305,   1338,  2605
016,2003,11,2003-11,   9694, 13.146,  3016,0,  56131,   1190,  3041
017,2003,12,2003-12,   7438, 13.078,  2799,0,  55428,   3502,  2453
018,2004,01,2004-01,   7393, 12.115,  2265,   5820,  41978,   9895,  1793
019,2004,02,2004-02,   2249, 11.743,  1842,   5768,  33540,   4512,  1539
020,2004,03,2004-03,   1878, 10.897,  1403,   3707,  28233,   3003,  1601
021,2004,04,2004-04,    632, 11.037,  1268,   2975,  25421,   1105,  1328
022,2004,05,2004-05,   1141, 11.034,  1120,0,  26541,      0,  1491
023,2004,06,2004-06,   1763, 12.089,  1153,0,  27694,      0,  1113
024,2004,07,2004-07,   4183, 14.228,  1115,0,  28255,    554,  1216
025,2004,08,2004-08,   5010, 15.060,  1060,0,  28426,    889,  1113
026,2004,09,2004-09,   5226, 14.596,  1022,0,  28561,    887,  1120
027,2004,10,2004-10,   6601, 13.760,  1081,0,  29603,     39,  1613
