id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2824, 13.967, 20737,0,  76712,      1,  2907
001,2002,08,2002-08,   3820, 14.816, 20813,0,  97525,      0,  5407
002,2002,09,2002-09,   7400, 14.507, 20601,0, 116877,   1249,  4433
003,2002,10,2002-10,   8250, 12.803, 18535,0, 122173,  13239,  3851
004,2002,11,2002-11,  10155, 13.472, 14953,0, 113163,  23963,  3689
005,2002,12,2002-12,   2919, 12.815, 11283,0,  96351,  28095,  2568
006,2003,01,2003-01,   8560, 12.309,  9932,  13174,  82089,  11020,  2489
007,2003,02,2003-02,   8887, 11.374,  7133,  11365,  64181,  13676,  1956
008,2003,03,2003-03,   6744, 11.054,  6226,   8940,  61046,    421,  1921
009,2003,04,2003-04,   6885, 10.392,  5004,   6670,  55186,   4194,  1704
010,2003,05,2003-05,   2036, 11.096,  4370,0,  57743,   1813,  1679
011,2003,06,2003-06,   2682, 12.203,  3880,0,  55083,   6540,  1621
012,2003,07,2003-07,   2029, 14.437,  3853,0,  58247,    689,  1897
013,2003,08,2003-08,   6527, 14.923,  3557,0,  57467,   4337,  1719
014,2003,09,2003-09,   9737, 14.757,  3378,0,  57087,   3758,  1648
015,2003,10,2003-10,   7915, 14.301,  3209,0,  56992,   3304,  1548
016,2003,11,2003-11,   5270, 13.146,  3030,0,  57049,   2973,  1578
017,2003,12,2003-12,   2112, 13.078,  2779,0,  54772,   5056,  1492
018,2004,01,2004-01,   2253, 12.115,  2214,   5721,  41106,  10159,  1189
019,2004,02,2004-02,   1489, 11.743,  1820,   6304,  32243,   4379,  1168
020,2004,03,2004-03,   1409, 10.897,  1485,   4781,  27700,   1247,  1026
021,2004,04,2004-04,   1215, 11.037,  1258,   4217,  24236,    505,   904
022,2004,05,2004-05,    812, 11.034,  1047,0,  25010,    273,   795
023,2004,06,2004-06,    823, 12.089,  1056,0,  26066,      0,   771
024,2004,07,2004-07,    359, 14.228,  1048,0,  27114,      0,   801
025,2004,08,2004-08,   1796, 15.060,  1049,0,  27309,    854,   778
026,2004,09,2004-09,   3528, 14.596,  1028,0,  27966,    371,   888
027,2004,10,2004-10,   2089, 13.760,  1043,0,  28904,    105,  1332
028,2004,11,2004-11,   1295, 13.685,  1031,0,  29668,    267,   818
029,2004,12,2004-12,    643, 13.437,  1041,0,  29905,    804,  1040
030,2005,01,2005-01,     97, 12.492,   904,   3442,  23626,   3741,   724
031,2005,02,2005-02,    173, 10.936,   773,   3111,  21040,    248,   643
032,2005,03,2005-03,    147, 10.934,   677,   2242,  19468,      7,   648
033,2005,04,2005-04,    186, 10.597,   625,   2552,  17541,      0,   532
034,2005,05,2005-05,    145, 11.169,   544,0,  18085,      0,   504
035,2005,06,2005-06,    129, 12.155,   514,0,  18598,      1,   678
036,2005,07,2005-07,     50, 14.320,   509,0,  18821,    286,   663
037,2005,08,2005-08,    844, 15.136,   567,0,  19388,      0,   677
