id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2404, 13.967, 20583,0,  76290,      0,  2415
001,2002,08,2002-08,   4483, 14.816, 20794,0,  97084,      0,  3957
002,2002,09,2002-09,   6921, 14.507, 20516,0, 116305,   1295,  3373
003,2002,10,2002-10,  10073, 12.803, 18114,0, 119976,  14443,  2924
004,2002,11,2002-11,  14355, 13.472, 14678,0, 110352,  24302,  2101
005,2002,12,2002-12,  17038, 12.815, 11138,0,  95411,  26079,  1732
006,2003,01,2003-01,  11556, 12.309,  9887,  14024,  81050,  10224,  1648
007,2003,02,2003-02,   7087, 11.374,  6970,  12309,  62720,  12991,  1340
008,2003,03,2003-03,   5712, 11.054,  6095,   9441,  59140,    234,  1340
009,2003,04,2003-04,   2320, 10.392,  4800,   8927,  49814,   5199,  1145
010,2003,05,2003-05,   1887, 11.096,  4124,0,  53937,      1,  1089
011,2003,06,2003-06,   4394, 12.203,  3687,0,  52817,   4807,  1048
012,2003,07,2003-07,   8883, 14.437,  3710,0,  55579,    948,  1058
013,2003,08,2003-08,   9749, 14.923,  3529,0,  55989,   3119,  1046
014,2003,09,2003-09,   9547, 14.757,  3334,0,  55484,   3839,   938
015,2003,10,2003-10,   8732, 14.301,  3116,0,  54904,   3696,   902
016,2003,11,2003-11,  10794, 13.146,  3003,0,  55598,   2309,   875
017,2003,12,2003-12,   7188, 13.078,  2810,0,  54145,   4263,   860
018,2004,01,2004-01,   7332, 12.115,  2235,   7003,  39543,   9834,   679
019,2004,02,2004-02,   2306, 11.743,  1705,   4998,  32060,   4190,   565
020,2004,03,2004-03,   1832, 10.897,  1511,   3694,  29734,    143,   544
021,2004,04,2004-04,    612, 11.037,  1289,   4494,  25589,    940,   523
022,2004,05,2004-05,   1064, 11.034,  1141,0,  26582,    148,   461
023,2004,06,2004-06,   1603, 12.089,  1134,0,  27716,      0,   464
024,2004,07,2004-07,   4024, 14.228,  1147,0,  28639,    224,   471
025,2004,08,2004-08,   4766, 15.060,  1157,0,  29252,    544,   480
026,2004,09,2004-09,   5025, 14.596,  1058,0,  28224,   2086,   476
027,2004,10,2004-10,   6224, 13.760,  1053,0,  29167,    110,   611
028,2004,11,2004-11,   6330, 13.685,  1035,0,  29901,    301,   466
029,2004,12,2004-12,   6295, 13.437,  1033,0,  30271,    663,   468
030,2005,01,2005-01,   2251, 12.492,   873,   3647,  23359,   4138,   407
031,2005,02,2005-02,   1851, 10.936,   702,   2583,  21093,    385,   370
032,2005,03,2005-03,    340, 10.934,   689,   3081,  18687,     14,   345
033,2005,04,2005-04,    192, 10.597,   569,   2211,  17045,      0,   318
034,2005,05,2005-05,    175, 11.169,   537,0,  17582,      0,   295
035,2005,06,2005-06,    630, 12.155,   554,0,  18136,      0,   299
036,2005,07,2005-07,   2474, 14.320,   514,0,  18650,      0,   298
037,2005,08,2005-08,   2912, 15.136,   499,0,  19149,      0,   312
038,2005,09,2005-09,   2917, 14.997,   570,0,  19719,      0,   318
039,2005,10,2005-10,   3053, 14.142,   544,0,  20263,      0,   321
040,2005,11,2005-11,   3345, 13.522,   539,0,  20802,      0,   317
041,2005,12,2005-12,   3298, 13.274,   521,0,  20731,    592,   318
042,2006,01,2006-01,   1923, 11.915,   523,   2596,  18658,      0,   327
043,2006,02,2006-02,    615, 11.411,   468,   1965,  17161,      0,   299
044,2006,03,2006-03,    220, 11.527,   417,   2319,  15259,      0,   281
045,2006,04,2006-04,     28, 10.317,   371,   1683,  13947,      0,   252
046,2006,05,2006-05,     14, 11.121,   367,0,  14314,      0,   243
047,2006,06,2006-06,    406, 12.097,   336,0,  14650,      0,   257
048,2006,07,2006-07,   2066, 14.309,   468,0,  15118,      0,   268
049,2006,08,2006-08,   2214, 15.085,   613,0,  15731,      0,   339
050,2006,09,2006-09,   2245, 14.829,   748,0,  16479,      0,   276
051,2006,10,2006-10,   2383, 14.211,   835,0,  17314,      0,   282
052,2006,11,2006-11,   3286, 13.664,   916,0,  18230,      0,   279
053,2006,12,2006-12,   3868, 13.536,  1025,0,  19001,    254,   280
054,2007,01,2007-01,   3129, 12.264,  1239,   2659,  17538,     43,   300
055,2007,02,2007-02,    372, 11.486,  1032,   1987,  14724,   1859,   251
056,2007,03,2007-03,    253, 10.976,   981,   2224,  13481,      0,   246
057,2007,04,2007-04,    111, 10.742,   904,   1661,  12724,      0,   229
058,2007,05,2007-05,    218, 11.337,   861,0,  13585,      0,   228
059,2007,06,2007-06,    300, 12.075,   874,0,  14296,    163,   241
060,2007,07,2007-07,   1298, 13.888,   987,0,  15264,     19,   265
061,2007,08,2007-08,   1967, 14.979,  1039,0,  15922,    381,   267
062,2007,09,2007-09,   2116, 14.760,  1114,0,  17036,      0,   294
063,2007,10,2007-10,   2203, 13.887,  1187,0,  18223,      0,   279
064,2007,11,2007-11,   2948, 13.796,  1234,0,  19457,      0,   286
065,2007,12,2007-12,   3147, 13.762,  1350,0,  20807,      0,   293
066,2008,01,2008-01,   2269, 12.357,  1353,   2497,  19663,      0,   312
067,2008,02,2008-02,    475, 11.288,  1273,   2519,  18417,      0,   311
068,2008,03,2008-03,    127, 11.491,  1197,   1966,  17376,    272,   289
069,2008,04,2008-04,     24, 10.775,  1057,   2190,  15524,    719,   266
070,2008,05,2008-05,      7, 11.482,   955,0,  16452,     27,   249
071,2008,06,2008-06,    192, 11.971,  1041,0,  17493,      0,   265
072,2008,07,2008-07,   2051, 14.353,  1046,0,  18440,     99,   282
073,2008,08,2008-08,   2733, 14.930,  1081,0,  19521,      0,   296
074,2008,09,2008-09,   3766, 14.450,  1149,0,  20670,      0,   310
075,2008,10,2008-10,   4147, 13.828,  1160,0,  21712,    118,   322
076,2008,11,2008-11,   4206, 13.862,  1272,0,  22984,      0,   340
077,2008,12,2008-12,   4113, 13.366,  1037,0,  20913,   3108,   300
078,2009,01,2009-01,    406, 11.921,  1067,   2760,  17936,   1284,   292
079,2009,02,2009-02,    154, 11.559,   827,   2085,  15106,   1572,   245
080,2009,03,2009-03,     35, 11.473,   763,   1863,  13709,    297,   228
081,2009,04,2009-04,     15, 11.120,   680,   2024,  12365,      0,   223
082,2009,05,2009-05,     36, 11.142,   606,0,  12971,      0,   211
083,2009,06,2009-06,     42, 11.829,   598,0,  13569,      0,   211
084,2009,07,2009-07,    737, 14.012,   649,0,  14218,      0,   225
085,2009,08,2009-08,   1236, 15.400,   669,0,  14887,      0,   237
086,2009,09,2009-09,   2187, 14.540,   658,0,  15545,      0,   244
087,2009,10,2009-10,   2449, 14.145,   715,0,  16260,      0,   250
088,2009,11,2009-11,   2662, 13.443,   719,0,  16979,      0,   249
089,2009,12,2009-12,   2855, 12.924,   736,0,  17715,      0,   255
090,2010,01,2010-01,   1839, 11.710,   706,   2273,  15516,    632,   252
091,2010,02,2010-02,    220, 11.254,   651,   2270,  13897,      0,   238
092,2010,03,2010-03,     96, 11.505,   562,   1456,  13003,      0,   215
093,2010,04,2010-04,     22, 10.703,   510,   1556,  11825,    132,   211
094,2010,05,2010-05,     16, 11.076,   456,0,  12281,      0,   189
095,2010,06,2010-06,    178, 11.663,   471,0,  12468,    284,   198
096,2010,07,2010-07,   1235, 14.453,   502,0,  12970,      0,   209
097,2010,08,2010-08,   1392, 15.062,   506,0,  13476,      0,   217
098,2010,09,2010-09,   1549, 14.714,   517,0,  13641,    352,   231
099,2010,10,2010-10,   1590, 13.488,   538,0,  14179,      0,   246
100,2010,11,2010-11,   1857, 13.042,   544,0,  14723,      0,   236
101,2010,12,2010-12,   1478, 12.462,   603,0,  15234,     92,   240
102,2011,01,2011-01,    692, 11.846,   648,   2152,  13730,      0,   243
103,2011,02,2011-02,     35, 11.390,   506,   1981,  11048,   1207,   200
104,2011,03,2011-03,      5, 11.090,   496,   1510,  10034,      0,   182
105,2011,04,2011-04,      1, 10.803,   462,   1543,   8953,      0,   168
106,2011,05,2011-05,     13, 11.326,   430,0,   9383,      0,   152
107,2011,06,2011-06,    575, 11.358,   412,0,   9795,      0,   166
108,2011,07,2011-07,    916, 14.707,   503,0,  10298,      0,   170
109,2011,08,2011-08,   1264, 14.824,   516,0,  10814,      0,   184
110,2011,09,2011-09,   1959, 14.442,   521,0,  11335,      0,   190
111,2011,10,2011-10,   2217, 13.840,   604,0,  11939,      0,   195
112,2011,11,2011-11,   2575, 12.889,   617,0,  12556,      0,   198
113,2011,12,2011-12,   2471, 13.548,   671,0,  13227,      0,   193
114,2012,01,2012-01,   1936, 12.133,   717,   1890,  12054,      0,   205
115,2012,02,2012-02,     65, 11.403,   677,   1549,  11182,      0,   189
116,2012,03,2012-03,     27, 11.139,   619,   1529,  10272,      0,   184
117,2012,04,2012-04,     17, 11.034,   581,   1494,   9359,      0,   178
118,2012,05,2012-05,      3, 11.014,   524,0,   9883,      0,   173
119,2012,06,2012-06,     22, 11.887,   553,0,  10436,      0,   175
120,2012,07,2012-07,   1406, 14.541,   594,0,  11030,      0,   180
121,2012,08,2012-08,   2143, 14.771,   654,0,  11684,      0,   196
122,2012,09,2012-09,   2363, 14.612,   688,0,  12372,      0,   201
123,2012,10,2012-10,   2752, 13.551,   695,0,  13067,      0,   208
124,2012,11,2012-11,   3590, 13.552,   710,0,  13777,      0,   209
125,2012,12,2012-12,   3085, 13.134,   757,0,  14534,      0,   216
126,2013,01,2013-01,    143, 11.930,   799,   2102,  13231,      0,   220
127,2013,02,2013-02,     40, 11.439,   751,   1558,  12424,      0,   207
128,2013,03,2013-03,      1, 11.275,   699,   1661,  11462,      0,   198
129,2013,04,2013-04,      0, 10.633,   648,   1351,  10759,      0,   184
130,2013,05,2013-05,      0, 11.289,   623,0,  11382,      0,   192
131,2013,06,2013-06,      1, 11.941,   583,0,  11965,      0,   190
132,2013,07,2013-07,   1175, 13.804,   683,0,  12648,      0,   198
133,2013,08,2013-08,   1669, 14.769,   590,0,  11741,   1497,   193
134,2013,09,2013-09,   1830, 14.443,   666,0,  12407,      0,   206
135,2013,10,2013-10,   2225, 14.107,   661,0,  13068,      0,   211
136,2013,11,2013-11,   2381, 13.716,   693,0,  13761,      0,   203
137,2013,12,2013-12,   2772, 13.629,   735,0,  14496,      0,   203
138,2014,01,2014-01,    377, 12.255,   734,   2078,  13152,      0,   218
139,2014,02,2014-02,    170, 11.556,   667,   1645,  12174,      0,   195
140,2014,03,2014-03,     38, 11.041,   628,   1909,  10893,      0,   190
141,2014,04,2014-04,     19, 10.772,   500,   1566,   9827,      0,   171
142,2014,05,2014-05,     20, 11.170,   476,0,  10303,      0,   154
143,2014,06,2014-06,    471, 12.458,   496,0,  10799,      0,   162
144,2014,07,2014-07,   1225, 14.514,   489,0,  11288,      0,   178
145,2014,08,2014-08,   1375, 14.905,   556,0,  11782,     62,   179
146,2014,09,2014-09,   1666, 15.011,   551,0,  12333,      0,   188
147,2014,10,2014-10,   1655, 13.780,   600,0,  12933,      0,   194
148,2014,11,2014-11,   3092, 13.568,   600,0,  13495,     38,   199
149,2014,12,2014-12,   3276, 13.435,   600,0,  14095,      0,   199
