id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2345, 13.967, 17777,0,  57932,    131,  1534
001,2002,08,2002-08,   3153, 14.816, 17533,0,  74216,   1249,  1952
002,2002,09,2002-09,   3206, 14.507, 17054,0,  88973,   2297,  2406
003,2002,10,2002-10,   2165, 12.803, 17094,0, 105484,    583,  3895
004,2002,11,2002-11,   2443, 13.472, 15688,0, 111885,   9287,  2656
005,2002,12,2002-12,   4849, 12.815, 13832,0, 113222,  12495,  2485
006,2003,01,2003-01,  12912, 12.309, 12577,  19943,  95912,   9944,  2289
007,2003,02,2003-02,  12002, 11.374,  9441,  12941,  82223,  10189,  1831
008,2003,03,2003-03,  12454, 11.054,  7873,  25521,  61694,   2881,  1763
009,2003,04,2003-04,  10746, 10.392,  5568,  15804,  50451,   1007,  1609
010,2003,05,2003-05,  10217, 11.096,  4282,0,  54711,     22,  1672
011,2003,06,2003-06,   9984, 12.203,  4332,0,  59010,     33,  1396
012,2003,07,2003-07,   7008, 14.437,  3988,0,  59115,   3883,  1594
013,2003,08,2003-08,   5123, 14.923,  3901,0,  60429,   2587,  1610
014,2003,09,2003-09,    256, 14.757,  3659,0,  60059,   4029,  1565
015,2003,10,2003-10,     58, 14.301,  3656,0,  63404,    311,  1417
016,2003,11,2003-11,    109, 13.146,  3510,0,  64903,   2011,  1289
017,2003,12,2003-12,   2292, 13.078,  3426,0,  66842,   1487,  1263
018,2004,01,2004-01,   7548, 12.115,  3388,  18182,  50730,   1318,  1294
019,2004,02,2004-02,   7782, 11.743,  2519,  15131,  37637,    481,  1032
020,2004,03,2004-03,   5338, 10.897,  1820,   6140,  33317,      0,   790
021,2004,04,2004-04,   8130, 11.037,  1509,   7723,  27103,      0,   908
022,2004,05,2004-05,   4597, 11.034,  1232,0,  28335,      0,   642
023,2004,06,2004-06,   4215, 12.089,  1203,0,  29535,      3,   709
024,2004,07,2004-07,   2577, 14.228,  1767,0,  31290,     12,   649
025,2004,08,2004-08,    638, 15.060,  2317,0,  33575,     32,  1077
026,2004,09,2004-09,     77, 14.596,  2816,0,  36391,      0,  1109
027,2004,10,2004-10,     71, 13.760,  3352,0,  39656,     87,  1742
028,2004,11,2004-11,     31, 13.685,  3823,0,  42773,    706,  1542
029,2004,12,2004-12,   6660, 13.437,  4321,0,  46754,    340,  1565
030,2005,01,2005-01,  10243, 12.492,  4834,   5713,  45781,     94,  1107
031,2005,02,2005-02,  10245, 10.936,  4846,   9952,  40672,      3,  1165
032,2005,03,2005-03,  10661, 10.934,  4295,  11035,  33932,      0,   944
033,2005,04,2005-04,   7445, 10.597,  3487,   7601,  29818,      0,   845
034,2005,05,2005-05,   7967, 11.169,  3002,0,  32819,      1,   776
