id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2385, 13.967, 17902,0,  58130,    131,  1564
001,2002,08,2002-08,   3196, 14.816, 17628,0,  74509,   1249,  2423
002,2002,09,2002-09,   3252, 14.507, 17107,0,  89360,   2256,  2785
003,2002,10,2002-10,   2044, 12.803, 17334,0, 106224,    470,  3038
004,2002,11,2002-11,   2263, 13.472, 15621,0, 112421,   9424,  3013
005,2002,12,2002-12,   4716, 12.815, 14019,0, 113229,  13211,  3149
006,2003,01,2003-01,  12601, 12.309, 12274,  21170,  94166,  10167,  2569
007,2003,02,2003-02,  11565, 11.374,  9139,  22268,  72360,   8677,  1993
008,2003,03,2003-03,  10539, 11.054,  6979,  20524,  57151,   1664,  1820
009,2003,04,2003-04,  10178, 10.392,  5174,  14554,  47124,    647,  1285
010,2003,05,2003-05,   9017, 11.096,  3909,0,  51016,     17,  1167
011,2003,06,2003-06,   9194, 12.203,  4003,0,  54988,     31,  1414
012,2003,07,2003-07,   6107, 14.437,  3774,0,  55598,   3164,  1398
013,2003,08,2003-08,   4773, 14.923,  3658,0,  57125,   2131,  1624
014,2003,09,2003-09,    235, 14.757,  3478,0,  57222,   3381,  1576
015,2003,10,2003-10,     43, 14.301,  3467,0,  60676,     13,  1721
016,2003,11,2003-11,     87, 13.146,  3443,0,  62418,   1701,  1618
017,2003,12,2003-12,   2335, 13.078,  3250,0,  63596,   2072,  1617
018,2004,01,2004-01,   7414, 12.115,  3322,  10405,  55729,    784,  1800
019,2004,02,2004-02,   8485, 11.743,  2678,  15482,  42379,    546,  1595
020,2004,03,2004-03,   5944, 10.897,  2038,   8550,  35867,      0,  1013
021,2004,04,2004-04,   8733, 11.037,  1612,   4217,  33262,      0,  1294
022,2004,05,2004-05,   5567, 11.034,  1416,0,  34678,      0,  1315
023,2004,06,2004-06,   5040, 12.089,  1445,0,  36121,      2,  1947
024,2004,07,2004-07,   3086, 14.228,  2108,0,  38222,      7,  2254
025,2004,08,2004-08,    765, 15.060,  2917,0,  41097,     42,  1675
026,2004,09,2004-09,     77, 14.596,  3381,0,  44478,      0,  1005
027,2004,10,2004-10,    104, 13.760,  4146,0,  47832,    792,   911
028,2004,11,2004-11,     47, 13.685,  4546,0,  51122,   1256,   907
029,2004,12,2004-12,   7581, 13.437,  5384,0,  55913,    593,   985
030,2005,01,2005-01,  11528, 12.492,  5853,  15318,  46113,    335,  1029
031,2005,02,2005-02,  10019, 10.936,  4814,  12034,  38892,      1,   930
032,2005,03,2005-03,   9719, 10.934,  4061,   5524,  37429,      0,  1294
033,2005,04,2005-04,   8049, 10.597,  3810,  10197,  31042,      0,  1133
034,2005,05,2005-05,   7887, 11.169,  3147,0,  34189,      0,   787
035,2005,06,2005-06,   6604, 12.155,  3361,0,  37550,      0,   775
036,2005,07,2005-07,   5747, 14.320,  3685,0,  41231,      4,   954
037,2005,08,2005-08,    935, 15.136,  3906,0,  45137,      0,  1104
038,2005,09,2005-09,    133, 14.997,  4012,0,  48245,    904,   931
039,2005,10,2005-10,     15, 14.142,  4052,0,  49208,   3089,  1018
040,2005,11,2005-11,   1182, 13.522,  4168,0,  53339,     37,   999
041,2005,12,2005-12,   4743, 13.274,  4421,0,  57276,    484,  1193
042,2006,01,2006-01,  10565, 11.915,  4554,  16744,  44282,    804,  1201
043,2006,02,2006-02,   8714, 11.411,  3431,   8420,  39292,      1,  1363
044,2006,03,2006-03,   7970, 11.527,  3010,  10399,  31903,      0,   820
045,2006,04,2006-04,   6298, 10.317,  2439,   9955,  24387,      0,   702
046,2006,05,2006-05,   4679, 11.121,  1764,0,  26146,      5,   496
047,2006,06,2006-06,   5087, 12.097,  1826,0,  27971,      1,   556
048,2006,07,2006-07,   3076, 14.309,  1965,0,  29930,      6,   662
049,2006,08,2006-08,   2438, 15.085,  2107,0,  32024,     13,   660
050,2006,09,2006-09,    289, 14.829,  2210,0,  34234,      0,   673
051,2006,10,2006-10,     36, 14.211,  2387,0,  36420,    201,   696
052,2006,11,2006-11,     50, 13.664,  2696,0,  38657,    459,   737
053,2006,12,2006-12,   3372, 13.536,  2929,0,  41547,     39,   825
054,2007,01,2007-01,   8869, 12.264,  3243,  10074,  34716,      0,   910
055,2007,02,2007-02,   6312, 11.486,  2786,  10690,  26734,     78,   797
056,2007,03,2007-03,   6199, 10.976,  2150,   8349,  20535,      0,   550
057,2007,04,2007-04,   4154, 10.742,  1681,   2881,  19335,      0,   432
058,2007,05,2007-05,   3994, 11.337,  1655,0,  20990,      0,   407
059,2007,06,2007-06,   3364, 12.075,  1823,0,  22811,      2,   434
060,2007,07,2007-07,   2021, 13.888,  1925,0,  24736,      0,   468
061,2007,08,2007-08,   1171, 14.979,  2172,0,  26908,      0,   596
062,2007,09,2007-09,    298, 14.760,  2243,0,  27971,   1180,   637
