id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2380, 13.967, 17247,0,  56546,    689,  1357
001,2002,08,2002-08,   3217, 14.816, 17071,0,  72616,   1001,  1961
002,2002,09,2002-09,   3366, 14.507, 17011,0,  88478,   1149,  2309
003,2002,10,2002-10,   2910, 12.803, 17191,0, 105536,    133,  3053
004,2002,11,2002-11,   3405, 13.472, 16986,0, 121892,    630,  2792
005,2002,12,2002-12,   7352, 12.815, 15864,0, 128076,   9680,  4688
006,2003,01,2003-01,  14392, 12.309, 15515,  39998, 101515,   2078,  3560
007,2003,02,2003-02,  13469, 11.374, 10791,  13179,  95887,   3240,  3020
008,2003,03,2003-03,  13652, 11.054,  9492,  29848,  73913,   1618,  2941
009,2003,04,2003-04,  12283, 10.392,  6319,   9128,  67111,   3993,  2192
010,2003,05,2003-05,  10614, 11.096,  5693,0,  72739,     65,  2220
011,2003,06,2003-06,  13431, 12.203,  5732,0,  78410,     61,  2491
012,2003,07,2003-07,   7871, 14.437,  5706,0,  83734,    382,  2830
013,2003,08,2003-08,   8049, 14.923,  5537,0,  86808,   2463,  4648
014,2003,09,2003-09,   1525, 14.757,  5694,0,  92342,    160,  3476
015,2003,10,2003-10,    611, 14.301,  5687,0,  98011,     18,  2975
016,2003,11,2003-11,   1078, 13.146,  5628,0, 103631,      8,  2765
017,2003,12,2003-12,   8172, 13.078,  5726,0, 107262,   2095,  2382
018,2004,01,2004-01,  15522, 12.115,  5621,  13390,  99434,     59,  2133
019,2004,02,2004-02,  13904, 11.743,  4988,  22450,  81631,    341,  2883
020,2004,03,2004-03,  15853, 10.897,  3931,   9350,  76194,     18,  2389
021,2004,04,2004-04,  13370, 11.037,  3393,  19075,  60510,      2,  1931
022,2004,05,2004-05,  12211, 11.034,  2637,0,  63142,      5,  1190
023,2004,06,2004-06,   9493, 12.089,  2612,0,  65727,     27,  1548
024,2004,07,2004-07,   6089, 14.228,  3766,0,  69428,     65,  1349
025,2004,08,2004-08,   2450, 15.060,  5011,0,  74320,    119,  1394
026,2004,09,2004-09,   1241, 14.596,  6189,0,  80496,     13,  1486
027,2004,10,2004-10,    821, 13.760,  7362,0,  87848,     10,  1743
028,2004,11,2004-11,    627, 13.685,  8612,0,  96452,      8,  2380
029,2004,12,2004-12,  13099, 13.437,  9837,0, 105934,    355,  2794
030,2005,01,2005-01,  17971, 12.492, 10947,  20771,  96064,     46,  2321
031,2005,02,2005-02,  18416, 10.936,  9830,  18098,  86737,   1059,  2081
032,2005,03,2005-03,  15665, 10.934,  8980,  11967,  83740,     10,  1667
033,2005,04,2005-04,  17634, 10.597,  8613,  24763,  67589,      1,  1637
034,2005,05,2005-05,  13678, 11.169,  6909,0,  74495,      3,  1756
035,2005,06,2005-06,  14257, 12.155,  7315,0,  81806,      4,  2388
036,2005,07,2005-07,  10112, 14.320,  7884,0,  89653,     37,  3053
037,2005,08,2005-08,   5139, 15.136,  8467,0,  98052,     68,  2494
038,2005,09,2005-09,   2124, 14.997,  9000,0, 107045,      7,  3313
039,2005,10,2005-10,   1003, 14.142,  8801,0, 108801,   7045,  2955
040,2005,11,2005-11,   4293, 13.522,  9385,0, 117857,    329,  2414
041,2005,12,2005-12,  12416, 13.274,  9867,0, 127507,    217,  2398
042,2006,01,2006-01,  18240, 11.915, 10332,  23875, 112218,   1746,  3801
043,2006,02,2006-02,  17604, 11.411,  8858,  13053, 107187,    836,  2907
044,2006,03,2006-03,  16270, 11.527,  8171,  25547,  88925,    886,  3040
045,2006,04,2006-04,  15942, 10.317,  6448,  23437,  69926,   2010,  2397
046,2006,05,2006-05,  10898, 11.121,  5026,0,  74939,     13,  2874
047,2006,06,2006-06,  13453, 12.097,  5232,0,  80139,     32,  2249
048,2006,07,2006-07,   7626, 14.309,  5584,0,  85663,     60,  2660
049,2006,08,2006-08,   5319, 15.085,  5888,0,  90014,   1537,  2782
050,2006,09,2006-09,   1195, 14.829,  6243,0,  95316,    941,  2697
051,2006,10,2006-10,    468, 14.211,  6779,0, 101046,   1049,  3048
052,2006,11,2006-11,    486, 13.664,  7414,0, 108292,    168,  2686
053,2006,12,2006-12,  10169, 13.536,  8187,0, 116330,    149,  2021
054,2007,01,2007-01,  17920, 12.264,  9198,  35474,  89981,     73,  2191
055,2007,02,2007-02,  12495, 11.486,  7083,  17934,  78610,    520,  2054
056,2007,03,2007-03,  15542, 10.976,  6451,  15982,  69050,     29,  2189
057,2007,04,2007-04,  11373, 10.742,  5755,   8868,  65927,     10,  1648
058,2007,05,2007-05,  14017, 11.337,  5606,0,  71526,      7,  1544
059,2007,06,2007-06,  11186, 12.075,  6136,0,  77610,     52,  1717
060,2007,07,2007-07,   8932, 13.888,  6651,0,  83293,    968,  1964
061,2007,08,2007-08,   5393, 14.979,  6795,0,  84280,   5808,  2006
062,2007,09,2007-09,   1867, 14.760,  7223,0,  90336,   1167,  1905
