id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2382, 13.967, 17577,0,  57405,    129,  1607
001,2002,08,2002-08,   3143, 14.816, 17543,0,  73843,   1105,  2447
002,2002,09,2002-09,   3311, 14.507, 17082,0,  88988,   1937,  2659
003,2002,10,2002-10,   2113, 12.803, 17040,0, 105474,    554,  2990
004,2002,11,2002-11,   2411, 13.472, 15468,0, 110685,  10257,  2939
005,2002,12,2002-12,   4912, 12.815, 13888,0, 112400,  12173,  3119
006,2003,01,2003-01,  12778, 12.309, 12463,  22912,  91927,  10024,  2535
007,2003,02,2003-02,  11952, 11.374,  8931,  23874,  69393,   7591,  1945
008,2003,03,2003-03,  11075, 11.054,  6743,  13330,  61337,   1469,  1764
009,2003,04,2003-04,  11636, 10.392,  5460,  15343,  50753,    701,  1395
010,2003,05,2003-05,  10373, 11.096,  4234,0,  54967,     20,  1299
011,2003,06,2003-06,  10541, 12.203,  4211,0,  59131,     47,  1453
012,2003,07,2003-07,   7241, 14.437,  3952,0,  59263,   3820,  1510
013,2003,08,2003-08,   5343, 14.923,  3896,0,  60693,   2466,  1717
014,2003,09,2003-09,    275, 14.757,  3615,0,  60083,   4225,  1671
015,2003,10,2003-10,     48, 14.301,  3657,0,  63721,     19,  1738
016,2003,11,2003-11,     89, 13.146,  3524,0,  64926,   2319,  1622
017,2003,12,2003-12,   2476, 13.078,  3382,0,  66228,   2080,  1698
018,2004,01,2004-01,   7685, 12.115,  3359,   8600,  59949,   1038,  1965
019,2004,02,2004-02,   9337, 11.743,  2908,   7420,  54034,   1403,  1512
020,2004,03,2004-03,   7719, 10.897,  2508,   8652,  47719,    171,  1800
021,2004,04,2004-04,  12064, 11.037,  2178,  13897,  35999,      1,  2085
022,2004,05,2004-05,   6231, 11.034,  1570,0,  37569,      0,  2300
023,2004,06,2004-06,   5546, 12.089,  1565,0,  39133,      1,  1681
024,2004,07,2004-07,   3614, 14.228,  2358,0,  41482,      9,  1349
025,2004,08,2004-08,    819, 15.060,  3043,0,  44371,    154,   878
026,2004,09,2004-09,     82, 14.596,  3708,0,  48070,      9,   902
027,2004,10,2004-10,    112, 13.760,  4445,0,  51532,    983,   926
028,2004,11,2004-11,     49, 13.685,  4968,0,  55043,   1457,   966
029,2004,12,2004-12,   8324, 13.437,  5523,0,  59896,    670,  1042
