id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2030, 13.967, 13694,0,  44645,   6897,  1480
001,2002,08,2002-08,   2360, 14.816, 11939,0,  50996,   5588,  1878
002,2002,09,2002-09,   2343, 14.507, 11188,0,  58244,   3940,  2185
003,2002,10,2002-10,   2167, 12.803, 10456,0,  64864,   3836,  2733
004,2002,11,2002-11,   2227, 13.472, 10053,0,  71456,   3461,  2521
005,2002,12,2002-12,   3179, 12.815,  8646,0,  70642,   9460,  2888
006,2003,01,2003-01,   4897, 12.309,  8231,  13152,  62396,   3325,  2790
007,2003,02,2003-02,   5568, 11.374,  6654,   8293,  58075,   2682,  2384
008,2003,03,2003-03,   6217, 11.054,  5629,  12514,  48640,   2550,  1911
009,2003,04,2003-04,   5790, 10.392,  4182,   9238,  40840,   2744,  1681
010,2003,05,2003-05,   4980, 11.096,  3314,0,  42107,   2047,  1543
011,2003,06,2003-06,   5313, 12.203,  3132,0,  43100,   2139,  2311
012,2003,07,2003-07,   4381, 14.437,  2925,0,  42274,   3751,  1716
013,2003,08,2003-08,   3603, 14.923,  2630,0,  41122,   3782,  1555
014,2003,09,2003-09,   2377, 14.757,  2554,0,  41238,   2438,  1500
015,2003,10,2003-10,   1660, 14.301,  2400,0,  41990,   1648,  1550
016,2003,11,2003-11,   1510, 13.146,  2312,0,  42395,   1907,  1547
017,2003,12,2003-12,   2311, 13.078,  2179,0,  41788,   2786,  1505
018,2004,01,2004-01,   4013, 12.115,  2069,   9171,  33235,   1451,  1500
019,2004,02,2004-02,   3408, 11.743,  1599,  10154,  23776,    904,  1198
020,2004,03,2004-03,   2950, 10.897,  1069,   6816,  17336,    693,   888
021,2004,04,2004-04,   2140, 11.037,   763,   3261,  14225,    613,   642
022,2004,05,2004-05,   1782, 11.034,   597,0,  14270,    552,   520
023,2004,06,2004-06,   1690, 12.089,   570,0,  14234,    606,   568
024,2004,07,2004-07,   1313, 14.228,   805,0,  14120,    919,   550
025,2004,08,2004-08,    965, 15.060,   963,0,  13999,   1084,   706
026,2004,09,2004-09,    685, 14.596,  1079,0,  14398,    680,   567
027,2004,10,2004-10,    571, 13.760,  1245,0,  15155,    488,   509
