id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2325, 13.967, 17641,0,  57385,    613,  1592
001,2002,08,2002-08,   3154, 14.816, 17348,0,  73629,   1104,  1960
002,2002,09,2002-09,   3221, 14.507, 17130,0,  89232,   1527,  2211
003,2002,10,2002-10,   2312, 12.803, 17199,0, 106332,     99,  2928
004,2002,11,2002-11,   2772, 13.472, 16655,0, 119593,   3394,  3018
005,2002,12,2002-12,   5808, 12.815, 15327,0, 123327,  11593,  2902
006,2003,01,2003-01,  14912, 12.309, 13942,  25810, 101861,   9598,  3368
007,2003,02,2003-02,  12974, 11.374, 10120,  21525,  81688,   8768,  1957
008,2003,03,2003-03,  13122, 11.054,  8072,  10111,  78680,    969,  1725
009,2003,04,2003-04,  13499, 10.392,  6620,  19160,  61710,   4430,  1686
010,2003,05,2003-05,  11424, 11.096,  5043,0,  66689,     64,  1350
011,2003,06,2003-06,  12088, 12.203,  5127,0,  71760,     56,  1587
012,2003,07,2003-07,   7052, 14.437,  5000,0,  74730,   2030,  1890
013,2003,08,2003-08,   6084, 14.923,  4957,0,  76577,   3110,  2837
014,2003,09,2003-09,    552, 14.757,  4571,0,  77457,   3691,  2201
015,2003,10,2003-10,    102, 14.301,  4684,0,  81688,    453,  2278
016,2003,11,2003-11,    268, 13.146,  4551,0,  84603,   1636,  2178
017,2003,12,2003-12,   3440, 13.078,  4597,0,  87607,   1593,  1682
018,2004,01,2004-01,  11181, 12.115,  4386,  18024,  72645,   1324,  2067
019,2004,02,2004-02,  11054, 11.743,  3422,  18453,  56554,   1060,  1864
020,2004,03,2004-03,   8510, 10.897,  2660,   6916,  52294,      4,  1549
021,2004,04,2004-04,  11795, 11.037,  2374,   5834,  48787,     47,  1417
022,2004,05,2004-05,   8371, 11.034,  2156,0,  50943,      0,  1072
023,2004,06,2004-06,   6931, 12.089,  2111,0,  53043,     11,  1672
024,2004,07,2004-07,   4058, 14.228,  3104,0,  56128,     19,  1464
025,2004,08,2004-08,   1171, 15.060,  4065,0,  60024,    169,  1867
026,2004,09,2004-09,    146, 14.596,  5094,0,  65062,     56,  1447
027,2004,10,2004-10,    108, 13.760,  5854,0,  69498,   1418,  1451
028,2004,11,2004-11,     93, 13.685,  6789,0,  74867,   1420,  3464
029,2004,12,2004-12,  12063, 13.437,  7724,0,  81914,    677,  2194
030,2005,01,2005-01,  17555, 12.492,  8449,  22017,  67865,    481,  2262
031,2005,02,2005-02,  14891, 10.936,  7113,  13288,  60999,    691,  1771
