id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2841, 13.967, 17715,0,  57659,    110,  1201
001,2002,08,2002-08,   4579, 14.816, 17621,0,  74093,   1187,  1474
002,2002,09,2002-09,   7419, 14.507, 17065,0,  89077,   2081,  3117
003,2002,10,2002-10,   6580, 12.803, 16961,0, 104900,   1138,  5485
004,2002,11,2002-11,  13725, 13.472, 15799,0, 113015,   7684,  2537
005,2002,12,2002-12,  24975, 12.815, 14240,0, 115308,  11947,  2201
006,2003,01,2003-01,  28443, 12.309, 12569,  18924,  98234,  10719,  1884
007,2003,02,2003-02,  20731, 11.374,  9604,  29731,  70602,   7505,  1428
008,2003,03,2003-03,  11777, 11.054,  6938,  15507,  60467,   1566,  1196
009,2003,04,2003-04,   6478, 10.392,  5445,  18036,  46985,    891,  1500
010,2003,05,2003-05,   7774, 11.096,  3880,0,  50837,     28,  4553
011,2003,06,2003-06,  10107, 12.203,  3958,0,  54770,     25,  2873
012,2003,07,2003-07,  11010, 14.437,  3722,0,  55017,   3475,  1131
013,2003,08,2003-08,   9216, 14.923,  3566,0,  56402,   2181,  2007
014,2003,09,2003-09,   5452, 14.757,  3521,0,  57480,   2443,  2824
015,2003,10,2003-10,   3384, 14.301,  3526,0,  60986,     20,  1955
016,2003,11,2003-11,   8384, 13.146,  3400,0,  62569,   1817,  1085
017,2003,12,2003-12,   9059, 13.078,  3222,0,  64413,   1378,  1094
018,2004,01,2004-01,   9224, 12.115,  3215,  11876,  54866,    886,  1433
019,2004,02,2004-02,   6948, 11.743,  2608,   8060,  48740,    674,  1211
020,2004,03,2004-03,   6835, 10.897,  2321,  15245,  35816,      0,  1092
021,2004,04,2004-04,   3556, 11.037,  1596,   7294,  30118,      0,   737
022,2004,05,2004-05,   3905, 11.034,  1325,0,  31443,      0,   697
023,2004,06,2004-06,   5306, 12.089,  1329,0,  32770,      2,   646
024,2004,07,2004-07,   5962, 14.228,  1869,0,  34630,      9,   730
025,2004,08,2004-08,   4849, 15.060,  2519,0,  37115,     34,   867
026,2004,09,2004-09,   3340, 14.596,  3130,0,  40245,      0,   898
027,2004,10,2004-10,   2518, 13.760,  3758,0,  43687,    316,  1069
028,2004,11,2004-11,  10106, 13.685,  4254,0,  46943,    998,  1899
029,2004,12,2004-12,  11412, 13.437,  4772,0,  51343,    372,  2712
030,2005,01,2005-01,  11647, 12.492,  5363,  16092,  40482,    132,  2560
031,2005,02,2005-02,   9265, 10.936,  4265,  11867,  32880,      0,  1461
032,2005,03,2005-03,   3767, 10.934,  3475,   3693,  32662,      0,   779
033,2005,04,2005-04,   3794, 10.597,  3459,  10193,  25928,      0,   837
034,2005,05,2005-05,   2421, 11.169,  2659,0,  28587,      0,   912
035,2005,06,2005-06,   5628, 12.155,  2841,0,  31428,      0,  1032
036,2005,07,2005-07,   6847, 14.320,  3025,0,  34451,      2,  1300
037,2005,08,2005-08,   6972, 15.136,  3318,0,  37767,      2,  1300
038,2005,09,2005-09,   6055, 14.997,  3356,0,  41123,      0,   870
039,2005,10,2005-10,   6060, 14.142,  3588,0,  43303,   1408,   921
040,2005,11,2005-11,  10977, 13.522,  3756,0,  47053,      6,   893
041,2005,12,2005-12,  10470, 13.274,  3970,0,  50761,    262,  1097
042,2006,01,2006-01,  12523, 11.915,  4088,   5590,  48731,    528,  1013
043,2006,02,2006-02,   8421, 11.411,  3818,  11559,  40990,      0,  1050
044,2006,03,2006-03,   7500, 11.527,  3101,   4691,  39373,     27,  1268
045,2006,04,2006-04,   3445, 10.317,  2849,   8350,  33871,      1,   917
046,2006,05,2006-05,   4224, 11.121,  2383,0,  36249,      5,   731
047,2006,06,2006-06,   6651, 12.097,  2500,0,  38749,      0,   914
048,2006,07,2006-07,   8350, 14.309,  2677,0,  41417,      9,   890
049,2006,08,2006-08,   8581, 15.085,  2815,0,  42575,   1657,   864
050,2006,09,2006-09,   8253, 14.829,  2980,0,  45543,     12,   928
051,2006,10,2006-10,   7557, 14.211,  3077,0,  46132,   2488,   862
052,2006,11,2006-11,  11263, 13.664,  3228,0,  46567,   2793,   955
053,2006,12,2006-12,  11184, 13.536,  3507,0,  50027,     47,  1064
054,2007,01,2007-01,  10506, 12.264,  3906,  14809,  39057,     67,  1523
055,2007,02,2007-02,   7350, 11.486,  3128,   6522,  35533,    130,  1124
056,2007,03,2007-03,   6348, 10.976,  2869,   4098,  33811,    493,   742
057,2007,04,2007-04,   3813, 10.742,  2855,   7131,  29535,      0,  1059
058,2007,05,2007-05,   4941, 11.337,  2490,0,  32024,      1,   625
059,2007,06,2007-06,   5940, 12.075,  2874,0,  34892,      6,   684
060,2007,07,2007-07,   6625, 13.888,  2923,0,  36993,    822,   783
061,2007,08,2007-08,   7254, 14.979,  3025,0,  37377,   2641,  1160
062,2007,09,2007-09,   4708, 14.760,  3174,0,  38714,   1837,  2157
063,2007,10,2007-10,  11911, 13.887,  3445,0,  42159,      0,  1626
064,2007,11,2007-11,  11085, 13.796,  3436,0,  41979,   3616,  2193
065,2007,12,2007-12,   8614, 13.762,  3681,0,  45612,     48,  1358
066,2008,01,2008-01,   9060, 12.357,  3924,   6220,  43003,    313,  1399
067,2008,02,2008-02,   6548, 11.288,  3709,   4833,  41858,     21,  1064
068,2008,03,2008-03,   6050, 11.491,  3589,   9247,  36141,     59,  1110
069,2008,04,2008-04,   3167, 10.775,  3074,   8865,  30350,      0,   921
070,2008,05,2008-05,   3022, 11.482,  2620,0,  32957,     13,   680
071,2008,06,2008-06,   5655, 11.971,  2737,0,  35692,      2,  1109
072,2008,07,2008-07,   6631, 14.353,  2877,0,  38568,      1,   995
073,2008,08,2008-08,   6597, 14.930,  3076,0,  41639,      5,   790
074,2008,09,2008-09,   4398, 14.450,  3322,0,  44961,      0,   856
075,2008,10,2008-10,   6393, 13.828,  3452,0,  47737,    676,   873
076,2008,11,2008-11,  10711, 13.862,  3643,0,  50774,    606,   934
077,2008,12,2008-12,  10448, 13.366,  3932,0,  54264,    442,  1053
078,2009,01,2009-01,  10396, 11.921,  4145,   6215,  50808,   1386,  1516
079,2009,02,2009-02,   5531, 11.559,  3883,   8291,  45838,    562,  1142
080,2009,03,2009-03,   3527, 11.473,  3573,   5128,  44174,    109,   966
081,2009,04,2009-04,   2615, 11.120,  3457,   5605,  42026,      0,   832
082,2009,05,2009-05,   2757, 11.142,  3372,0,  45398,      0,   808
083,2009,06,2009-06,   7723, 11.829,  3672,0,  49020,     50,   871
084,2009,07,2009-07,   8473, 14.012,  3999,0,  52572,    447,   963
085,2009,08,2009-08,   8490, 15.400,  4266,0,  56822,     16,  1024
086,2009,09,2009-09,   5704, 14.540,  4270,0,  56975,   4117,  1061
087,2009,10,2009-10,   7855, 14.145,  4387,0,  58694,   2668,  1014
088,2009,11,2009-11,  14195, 13.443,  4758,0,  62258,   1194,  1020
089,2009,12,2009-12,  12252, 12.924,  5149,0,  66631,    776,  1126
090,2010,01,2010-01,  14243, 11.710,  5264,  17442,  51935,   2518,  1180
091,2010,02,2010-02,   9598, 11.254,  4210,  13784,  40763,   1598,   914
092,2010,03,2010-03,   5087, 11.505,  3355,   4766,  39352,      0,   749
093,2010,04,2010-04,   4535, 10.703,  3325,   5927,  36746,      4,   727
094,2010,05,2010-05,   1992, 11.076,  3070,0,  39747,     69,   719
095,2010,06,2010-06,   6140, 11.663,  3402,0,  43136,     13,   759
096,2010,07,2010-07,   8173, 14.453,  3644,0,  46766,     14,   853
097,2010,08,2010-08,   9876, 15.062,  3929,0,  50573,    122,  1091
098,2010,09,2010-09,   5340, 14.714,  4228,0,  54362,    439,  1141
099,2010,10,2010-10,   9531, 13.488,  3520,0,  46700,  11182,  1079
100,2010,11,2010-11,  10305, 13.042,  3865,0,  50518,     47,   964
101,2010,12,2010-12,  12720, 12.462,  4112,0,  54630,      0,  1001
102,2011,01,2011-01,  13231, 11.846,  4480,  12365,  46037,    708,  1092
103,2011,02,2011-02,   6692, 11.390,  3603,   8856,  40087,    697,   891
104,2011,03,2011-03,   4107, 11.090,  3302,  11777,  31610,      2,   762
105,2011,04,2011-04,   2378, 10.803,  2523,   8700,  25433,      0,   583
106,2011,05,2011-05,   2914, 11.326,  2064,0,  27481,     16,   477
107,2011,06,2011-06,   4476, 11.358,  2169,0,  29650,      0,   544
108,2011,07,2011-07,   5256, 14.707,  2382,0,  32032,      0,   593
109,2011,08,2011-08,   3581, 14.824,  2547,0,  34541,     38,   657
110,2011,09,2011-09,   2332, 14.442,  2717,0,  36703,    555,   686
111,2011,10,2011-10,   6834, 13.840,  2938,0,  39641,      0,   722
112,2011,11,2011-11,   5445, 12.889,  3220,0,  42861,      0,   778
113,2011,12,2011-12,   8189, 13.548,  3375,0,  46102,    134,   784
114,2012,01,2012-01,   7446, 12.133,  3780,   5376,  44505,      1,   907
115,2012,02,2012-02,   5924, 11.403,  3652,  14105,  33913,    139,   879
116,2012,03,2012-03,   3043, 11.139,  2725,   5625,  31013,      0,   681
117,2012,04,2012-04,   3156, 11.034,  2576,   8525,  25050,     14,   643
118,2012,05,2012-05,   3016, 11.014,  2051,0,  27101,      0,   484
119,2012,06,2012-06,   4301, 11.887,  2201,0,  29302,      0,   538
120,2012,07,2012-07,   5569, 14.541,  2401,0,  30923,    780,   573
121,2012,08,2012-08,   5862, 14.771,  2471,0,  32090,   1304,   614
122,2012,09,2012-09,   5654, 14.612,  2711,0,  34801,      0,   638
123,2012,10,2012-10,   8384, 13.551,  2816,0,  36946,    671,   664
124,2012,11,2012-11,   8980, 13.552,  3129,0,  40021,     54,   769
125,2012,12,2012-12,   9906, 13.134,  3385,0,  43406,      0,   824
126,2013,01,2013-01,   9204, 11.930,  3672,  12475,  34557,     46,   958
127,2013,02,2013-02,   4212, 11.439,  2847,   9722,  27682,      0,   675
128,2013,03,2013-03,   2605, 11.275,  2296,   7990,  21949,     39,   523
129,2013,04,2013-04,   2243, 10.633,  1843,   4249,  19543,      0,   412
130,2013,05,2013-05,    709, 11.289,  1568,0,  21111,      0,   367
131,2013,06,2013-06,   2611, 11.941,  1749,0,  22860,      0,   406
132,2013,07,2013-07,   4213, 13.804,  1901,0,  24757,      4,   442
133,2013,08,2013-08,   4962, 14.769,  2051,0,  26808,      0,   526
134,2013,09,2013-09,   4746, 14.443,  2157,0,  28965,      0,   538
135,2013,10,2013-10,   5542, 14.107,  2263,0,  31228,      0,   564
