id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,    896, 13.967, 12736,0,  41603,    580,   851
001,2002,08,2002-08,   1399, 14.816, 11970,0,  50560,   3013,  1099
002,2002,09,2002-09,    915, 14.507,  8158,0,  42648,  16070,   808
003,2002,10,2002-10,    357, 12.803,  5668,0,  34937,  13379,   505
004,2002,11,2002-11,    819, 13.472,  3895,0,  27845,  10987,   391
005,2002,12,2002-12,    674, 12.815,  3046,0,  24884,   6007,   359
006,2003,01,2003-01,   2106, 12.309,  2659,   3800,  20941,   2802,   459
007,2003,02,2003-02,   2103, 11.374,  2159,   6918,  15354,    828,   351
008,2003,03,2003-03,   1399, 11.054,  1242,   4710,  10008,   1878,   208
009,2003,04,2003-04,    870, 10.392,   860,   2233,   8312,    323,   180
010,2003,05,2003-05,   1306, 11.096,   691,0,   8949,     54,   239
011,2003,06,2003-06,   1588, 12.203,   670,0,   9302,    317,   238
012,2003,07,2003-07,   1240, 14.437,   619,0,   8943,    978,   298
013,2003,08,2003-08,    718, 14.923,   502,0,   8271,   1174,   354
014,2003,09,2003-09,     60, 14.757,   451,0,   8140,    582,   350
015,2003,10,2003-10,     11, 14.301,   447,0,   8217,    370,   137
016,2003,11,2003-11,     11, 13.146,   466,0,   8265,    418,   366
017,2003,12,2003-12,    328, 13.078,   417,0,   8390,    292,   190
018,2004,01,2004-01,    541, 12.115,   383,   2157,   6404,    212,   139
019,2004,02,2004-02,    486, 11.743,   294,   1419,   5150,    129,   109
020,2004,03,2004-03,    372, 10.897,   267,    974,   4391,     52,   129
021,2004,04,2004-04,    271, 11.037,   185,   1160,   3398,     18,   257
022,2004,05,2004-05,    349, 11.034,   131,0,   3518,     11,    84
023,2004,06,2004-06,    486, 12.089,   134,0,   3644,      8,    85
024,2004,07,2004-07,    319, 14.228,   192,0,   3822,     14,   189
025,2004,08,2004-08,     90, 15.060,   267,0,   4066,     23,   235
026,2004,09,2004-09,     14, 14.596,   320,0,   4386,      0,   102
027,2004,10,2004-10,     14, 13.760,   376,0,   4761,      1,   112
028,2004,11,2004-11,     12, 13.685,   456,0,   5211,      6,   366
029,2004,12,2004-12,    316, 13.437,   537,0,   5612,    136,   107
030,2005,01,2005-01,    450, 12.492,   616,   1308,   4885,     35,    98
031,2005,02,2005-02,    461, 10.936,   530,   1151,   4147,    117,    92
032,2005,03,2005-03,    350, 10.934,   423,    673,   3886,     11,    84
033,2005,04,2005-04,    312, 10.597,   406,    549,   3735,      8,    80
034,2005,05,2005-05,    492, 11.169,   403,0,   4135,      3,   324
035,2005,06,2005-06,    589, 12.155,   425,0,   4559,      1,   108
036,2005,07,2005-07,    437, 14.320,   461,0,   4976,     44,   124
037,2005,08,2005-08,     57, 15.136,   454,0,   5264,    166,   102
038,2005,09,2005-09,     15, 14.997,   390,0,   4491,   1163,    94
039,2005,10,2005-10,     23, 14.142,   401,0,   4892,      0,    98
040,2005,11,2005-11,     37, 13.522,   449,0,   5319,     22,    97
041,2005,12,2005-12,    334, 13.274,   435,0,   5743,     11,   110
042,2006,01,2006-01,    533, 11.915,   461,   1021,   5171,     12,   155
043,2006,02,2006-02,    701, 11.411,   400,    781,   4778,     12,   106
044,2006,03,2006-03,    406, 11.527,   364,   1248,   3887,      7,   100
045,2006,04,2006-04,    250, 10.317,   305,    684,   3491,     17,   118
046,2006,05,2006-05,    392, 11.121,   255,0,   3739,      7,   106
047,2006,06,2006-06,    728, 12.097,   290,0,   4018,     11,    95
048,2006,07,2006-07,    533, 14.309,   290,0,   4294,     14,    92
049,2006,08,2006-08,    552, 15.085,   296,0,   4574,     16,   114
050,2006,09,2006-09,     32, 14.829,   339,0,   4913,      0,   107
051,2006,10,2006-10,      0, 14.211,   358,0,   5235,     36,   150
052,2006,11,2006-11,      3, 13.664,   362,0,   5527,     70,   186
053,2006,12,2006-12,    260, 13.536,   403,0,   5890,     40,   124
054,2007,01,2007-01,    719, 12.264,   426,   1375,   4908,     33,   121
055,2007,02,2007-02,    704, 11.486,   349,   1562,   3685,     10,   126
056,2007,03,2007-03,    447, 10.976,   268,    987,   2942,     24,    90
057,2007,04,2007-04,    278, 10.742,   247,    866,   2317,      6,    69
058,2007,05,2007-05,    374, 11.337,   185,0,   2498,      4,    64
059,2007,06,2007-06,    395, 12.075,   195,0,   2690,      3,    67
060,2007,07,2007-07,    289, 13.888,   215,0,   2896,      9,    70
061,2007,08,2007-08,     22, 14.979,   265,0,   3157,      4,    76
062,2007,09,2007-09,    130, 14.760,   264,0,   3421,      0,    77
063,2007,10,2007-10,      0, 13.887,   287,0,   3708,      0,    79
064,2007,11,2007-11,     79, 13.796,   345,0,   4052,      1,   133
065,2007,12,2007-12,    324, 13.762,   361,0,   4411,      2,   100
066,2008,01,2008-01,    733, 12.357,   381,   1164,   3624,      4,   108
067,2008,02,2008-02,    751, 11.288,   330,    420,   3515,     19,    80
068,2008,03,2008-03,    563, 11.491,   282,    777,   2995,     25,    73
069,2008,04,2008-04,    411, 10.775,   256,    778,   2461,     12,    76
070,2008,05,2008-05,    340, 11.482,   208,0,   2662,      7,    62
071,2008,06,2008-06,    545, 11.971,   209,0,   2868,      3,    65
072,2008,07,2008-07,    453, 14.353,   235,0,   3097,      6,    72
073,2008,08,2008-08,    236, 14.930,   247,0,   3344,      0,    86
074,2008,09,2008-09,     20, 14.450,   283,0,   3627,      0,    78
075,2008,10,2008-10,     14, 13.828,   293,0,   3920,      0,    88
076,2008,11,2008-11,     89, 13.862,   332,0,   4250,      2,    93
077,2008,12,2008-12,    380, 13.366,   328,0,   4427,    151,    80
078,2009,01,2009-01,    684, 11.921,   341,   1373,   3392,      3,    86
079,2009,02,2009-02,    394, 11.559,   246,    930,   2707,      1,    83
080,2009,03,2009-03,    233, 11.473,   185,    471,   2401,     20,    62
081,2009,04,2009-04,    276, 11.120,   191,    524,   2062,      6,    58
082,2009,05,2009-05,    278, 11.142,   156,0,   2215,      3,    62
