id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2410, 13.967, 17767,0,  57697,    134,  1277
001,2002,08,2002-08,   3187, 14.816, 17435,0,  74013,   1119,  2044
002,2002,09,2002-09,   3267, 14.507, 16668,0,  88467,   2214,  2271
003,2002,10,2002-10,   2246, 12.803, 16956,0, 104702,    721,  3397
004,2002,11,2002-11,   2573, 13.472, 15785,0, 111507,   8980,  3119
005,2002,12,2002-12,   4917, 12.815, 13993,0, 112897,  12603,  2561
006,2003,01,2003-01,  13205, 12.309, 12466,  22218,  93639,   9506,  2301
007,2003,02,2003-02,  11608, 11.374,  9050,  14030,  79311,   9348,  1830
008,2003,03,2003-03,  11987, 11.054,  7677,  23957,  60792,   2239,  1736
009,2003,04,2003-04,  10797, 10.392,  5632,  17957,  47805,    662,  1311
010,2003,05,2003-05,   9860, 11.096,  4025,0,  51806,     24,  1349
011,2003,06,2003-06,   9816, 12.203,  4011,0,  55781,     36,  1730
012,2003,07,2003-07,   6856, 14.437,  3852,0,  56362,   3271,  1367
013,2003,08,2003-08,   5062, 14.923,  3655,0,  57677,   2340,  1685
014,2003,09,2003-09,    205, 14.757,  3502,0,  57971,   3208,  1488
015,2003,10,2003-10,     44, 14.301,  3549,0,  61453,     67,  1471
016,2003,11,2003-11,     80, 13.146,  3366,0,  62999,   1820,  1380
017,2003,12,2003-12,   2409, 13.078,  3362,0,  64852,   1509,  1251
018,2004,01,2004-01,   7901, 12.115,  3301,  15175,  51987,    991,  1265
019,2004,02,2004-02,   8198, 11.743,  2560,   8137,  45844,    566,  1054
020,2004,03,2004-03,   6465, 10.897,  2167,  12270,  35738,      3,   883
021,2004,04,2004-04,   8815, 11.037,  1675,   8278,  29135,      0,   754
022,2004,05,2004-05,   4974, 11.034,  1268,0,  30403,      0,   657
023,2004,06,2004-06,   4409, 12.089,  1287,0,  31687,      3,   849
024,2004,07,2004-07,   2735, 14.228,  1881,0,  33556,     12,   795
025,2004,08,2004-08,    640, 15.060,  2441,0,  35955,     42,   841
026,2004,09,2004-09,     53, 14.596,  2988,0,  38943,      0,  1013
027,2004,10,2004-10,     89, 13.760,  3537,0,  42342,    138,  1248
028,2004,11,2004-11,     42, 13.685,  4007,0,  45481,    868,  1907
029,2004,12,2004-12,   7001, 13.437,  4677,0,  49824,    334,  2014
030,2005,01,2005-01,  10566, 12.492,  5082,  14090,  40766,     50,  1380
031,2005,02,2005-02,   8973, 10.936,  4251,  11558,  33458,      1,  1073
032,2005,03,2005-03,   8620, 10.934,  3510,   7319,  29649,      0,   844
033,2005,04,2005-04,   6446, 10.597,  3096,   8145,  24600,      0,   758
034,2005,05,2005-05,   6422, 11.169,  2493,0,  27093,      0,   673
035,2005,06,2005-06,   5293, 12.155,  2676,0,  29769,      0,   596
036,2005,07,2005-07,   4711, 14.320,  2842,0,  32606,      5,   807
037,2005,08,2005-08,    612, 15.136,  3121,0,  35726,      1,   788
038,2005,09,2005-09,     81, 14.997,  3389,0,  39115,      0,  1034
039,2005,10,2005-10,     19, 14.142,  3389,0,  41429,   1075,   855
040,2005,11,2005-11,   1089, 13.522,  3495,0,  44912,     12,  1090
041,2005,12,2005-12,   4483, 13.274,  3766,0,  48462,    216,  1295
042,2006,01,2006-01,   9560, 11.915,  3977,   5679,  46690,     70,  1107
043,2006,02,2006-02,   9848, 11.411,  3660,   9678,  40067,    605,   972
044,2006,03,2006-03,   8039, 11.527,  3046,  10295,  32818,      0,   892
045,2006,04,2006-04,   6543, 10.317,  2461,   9526,  25753,      0,   854
046,2006,05,2006-05,   4925, 11.121,  1853,0,  27605,      1,   786
047,2006,06,2006-06,   5436, 12.097,  1937,0,  29542,      0,   899
048,2006,07,2006-07,   3369, 14.309,  2095,0,  31632,      5,   695
049,2006,08,2006-08,   2683, 15.085,  2185,0,  33672,    145,   750
050,2006,09,2006-09,    249, 14.829,  2328,0,  35999,      1,   717
051,2006,10,2006-10,     32, 14.211,  2548,0,  37695,    852,   865
052,2006,11,2006-11,     54, 13.664,  2687,0,  39691,    691,  1061
053,2006,12,2006-12,   4313, 13.536,  2952,0,  42637,      6,  1194
054,2007,01,2007-01,   9523, 12.264,  3375,   7731,  38271,     10,   868
055,2007,02,2007-02,   7057, 11.486,  3009,   4896,  36270,    114,   816
056,2007,03,2007-03,   8851, 10.976,  2890,   9049,  29587,    524,   825
057,2007,04,2007-04,   5909, 10.742,  2496,   9260,  22823,      0,   613
058,2007,05,2007-05,   4585, 11.337,  1950,0,  24773,      0,   483
059,2007,06,2007-06,   3627, 12.075,  2111,0,  26876,      8,   563
060,2007,07,2007-07,   2424, 13.888,  2345,0,  29168,     53,   650
061,2007,08,2007-08,   1403, 14.979,  2506,0,  31644,     30,   646
062,2007,09,2007-09,    373, 14.760,  2610,0,  32467,   1787,   744
063,2007,10,2007-10,    428, 13.887,  2947,0,  35414,      0,   723
064,2007,11,2007-11,    430, 13.796,  2935,0,  36133,   2216,   691
065,2007,12,2007-12,   3557, 13.762,  3120,0,  39253,      0,   666
066,2008,01,2008-01,   9095, 12.357,  3319,   4903,  37668,      1,   750
067,2008,02,2008-02,   7463, 11.288,  3328,   5147,  35838,     11,   904
068,2008,03,2008-03,   7956, 11.491,  3115,   9357,  29592,      4,   736
069,2008,04,2008-04,   7819, 10.775,  2506,   9114,  22984,      0,   638
070,2008,05,2008-05,   5095, 11.482,  1917,0,  24895,      6,   468
071,2008,06,2008-06,   3939, 11.971,  2141,0,  27031,      5,   525
072,2008,07,2008-07,   2861, 14.353,  2236,0,  29266,      1,   564
073,2008,08,2008-08,   1342, 14.930,  2347,0,  31612,      1,   630
074,2008,09,2008-09,    256, 14.450,  2557,0,  34169,      0,   700
075,2008,10,2008-10,     47, 13.828,  2638,0,  36154,    653,   742
076,2008,11,2008-11,    514, 13.862,  2844,0,  38998,      0,   729
077,2008,12,2008-12,   6158, 13.366,  3005,0,  42003,      0,   771
078,2009,01,2009-01,   9684, 11.921,  3246,   6297,  38904,     48,   826
079,2009,02,2009-02,   8472, 11.559,  2999,  11602,  30301,      0,   805
080,2009,03,2009-03,   6380, 11.473,  2417,   4541,  28177,      0,   640
081,2009,04,2009-04,   5873, 11.120,  2280,   7976,  22481,      0,   575
082,2009,05,2009-05,   5059, 11.142,  1846,0,  24327,      0,   460
083,2009,06,2009-06,   4527, 11.829,  1970,0,  26297,      0,   501
084,2009,07,2009-07,   3715, 14.012,  2193,0,  28490,      0,   557
085,2009,08,2009-08,   1761, 15.400,  2341,0,  30830,      1,   593
086,2009,09,2009-09,    683, 14.540,  2496,0,  33326,      0,   650
087,2009,10,2009-10,     90, 14.145,  2781,0,  36107,      0,   676
088,2009,11,2009-11,    503, 13.443,  2916,0,  39023,      0,   748
089,2009,12,2009-12,   3820, 12.924,  3266,0,  42268,     21,   823
090,2010,01,2010-01,  10138, 11.710,  3509,   8170,  37605,      2,   893
091,2010,02,2010-02,   8503, 11.254,  3076,  10990,  29364,    327,   733
092,2010,03,2010-03,   4914, 11.505,  2445,   3477,  28332,      0,   565
093,2010,04,2010-04,   7343, 10.703,  2283,   3693,  26922,      0,   572
094,2010,05,2010-05,   6142, 11.076,  2292,0,  29214,      0,   636
095,2010,06,2010-06,   6281, 11.663,  2408,0,  31619,      3,   742
096,2010,07,2010-07,   4079, 14.453,  2665,0,  34281,      3,   730
097,2010,08,2010-08,   1780, 15.062,  2878,0,  37159,      0,   985
098,2010,09,2010-09,    379, 14.714,  3061,0,  40220,      0,   912
099,2010,10,2010-10,    121, 13.488,  2993,0,  39288,   3925,   828
100,2010,11,2010-11,    387, 13.042,  3208,0,  42458,     38,   825
101,2010,12,2010-12,   7704, 12.462,  3485,0,  45943,      0,   908
102,2011,01,2011-01,   9825, 11.846,  3770,  12259,  37349,    105,   854
103,2011,02,2011-02,   8929, 11.390,  3001,   8814,  31107,    429,   691
104,2011,03,2011-03,   6601, 11.090,  2567,   5996,  27678,      0,   669
105,2011,04,2011-04,   5219, 10.803,  2215,   3036,  26857,      0,   593
106,2011,05,2011-05,   5765, 11.326,  2205,0,  29045,     17,   570
107,2011,06,2011-06,   4671, 11.358,  2404,0,  31449,      0,   642
108,2011,07,2011-07,   3932, 14.707,  2660,0,  34109,      0,   708
109,2011,08,2011-08,    523, 14.824,  2746,0,  36717,    138,   993
110,2011,09,2011-09,     30, 14.442,  2838,0,  37765,   1790,   809
111,2011,10,2011-10,     11, 13.840,  3001,0,  38923,   1843,   857
112,2011,11,2011-11,    544, 12.889,  3188,0,  42111,      0,   957
113,2011,12,2011-12,   3095, 13.548,  3404,0,  45272,    243,   781
114,2012,01,2012-01,   6209, 12.133,  3682,  11990,  36964,      0,   972
115,2012,02,2012-02,   5640, 11.403,  2966,   8300,  31630,      0,   899
116,2012,03,2012-03,   6297, 11.139,  2592,   4453,  29769,      0,   661
117,2012,04,2012-04,   6159, 11.034,  2447,   3586,  28599,     31,   642
118,2012,05,2012-05,   5983, 11.014,  2374,0,  30973,      0,   577
119,2012,06,2012-06,   5656, 11.887,  2600,0,  33572,      1,   641
120,2012,07,2012-07,   3701, 14.541,  2630,0,  34802,   1400,   645
121,2012,08,2012-08,   3235, 14.771,  2747,0,  35882,   1667,   684
122,2012,09,2012-09,    149, 14.612,  2908,0,  38790,      0,   864
123,2012,10,2012-10,    999, 13.551,  3151,0,  41028,    913,   722
124,2012,11,2012-11,    424, 13.552,  3305,0,  44301,     32,   782
125,2012,12,2012-12,   7739, 13.134,  3647,0,  47947,      1,   834
126,2013,01,2013-01,  12131, 11.930,  3942,   9580,  42266,     43,   923
127,2013,02,2013-02,   7470, 11.439,  3484,   5115,  39873,    762,   859
128,2013,03,2013-03,  12330, 11.275,  3316,   7529,  35421,    239,   738
129,2013,04,2013-04,   8675, 10.633,  2886,   8794,  29513,      0,   676
130,2013,05,2013-05,   7556, 11.289,  2395,0,  31908,      0,   557
131,2013,06,2013-06,   6943, 11.941,  2643,0,  34551,      0,   596
132,2013,07,2013-07,   6152, 13.804,  2760,0,  36531,    780,   648
133,2013,08,2013-08,   4482, 14.769,  2991,0,  39500,     22,   718
134,2013,09,2013-09,    687, 14.443,  3223,0,  42723,      0,   772
135,2013,10,2013-10,    321, 14.107,  3494,0,  46106,    111,   939
136,2013,11,2013-11,    292, 13.716,  3748,0,  49831,     23,  1021
137,2013,12,2013-12,   4021, 13.629,  4021,0,  53837,     15,  1018
138,2014,01,2014-01,   8890, 12.255,  4254,   7558,  49385,   1148,   971
139,2014,02,2014-02,   8487, 11.556,  4077,   8534,  44924,      4,   937
140,2014,03,2014-03,   9096, 11.041,  3647,  14250,  34321,      0,   844
141,2014,04,2014-04,   6395, 10.772,  2852,   6792,  30381,      0,   647
142,2014,05,2014-05,   6105, 11.170,  2431,0,  32812,      0,   766
143,2014,06,2014-06,   3795, 12.458,  2738,0,  35550,      0,   644
144,2014,07,2014-07,   2748, 14.514,  2864,0,  37739,    675,   709
145,2014,08,2014-08,   1320, 14.905,  3041,0,  40757,     23,   795
146,2014,09,2014-09,     93, 15.011,  3394,0,  44133,     18,   857
147,2014,10,2014-10,     19, 13.780,  3515,0,  47086,    562,   891
148,2014,11,2014-11,     16, 13.568,  3790,0,  50566,    310,   836
149,2014,12,2014-12,   1249, 13.435,  4143,0,  54564,    145,   903
