id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2337, 13.967, 17832,0,  57954,    129,  2040
001,2002,08,2002-08,   3107, 14.816, 17550,0,  74342,   1162,  2099
002,2002,09,2002-09,   3210, 14.507, 17147,0,  89459,   2030,  3604
003,2002,10,2002-10,   2071, 12.803, 17255,0, 106574,    140,  3739
004,2002,11,2002-11,   2416, 13.472, 16124,0, 115079,   7619,  4877
005,2002,12,2002-12,   5077, 12.815, 14615,0, 118793,  10901,  6262
006,2003,01,2003-01,  13930, 12.309, 12887,  24573,  94776,  12331,  7533
007,2003,02,2003-02,  12419, 11.374,  9365,  11240,  84016,   8885,  2748
008,2003,03,2003-03,  13295, 11.054,  8095,   9685,  79335,   3091,  2477
009,2003,04,2003-04,  14256, 10.392,  6742,  14381,  66488,   5208,  2129
010,2003,05,2003-05,  12019, 11.096,  5571,0,  72026,     33,  2221
011,2003,06,2003-06,  12647, 12.203,  5578,0,  77558,     46,  2219
012,2003,07,2003-07,   7997, 14.437,  5213,0,  77428,   5343,  2539
013,2003,08,2003-08,   6058, 14.923,  4873,0,  77436,   4865,  2574
014,2003,09,2003-09,    409, 14.757,  4491,0,  75799,   6128,  2480
015,2003,10,2003-10,     66, 14.301,  4346,0,  77625,   2520,  2179
016,2003,11,2003-11,    186, 13.146,  4298,0,  79685,   2238,  2145
017,2003,12,2003-12,   3190, 13.078,  4198,0,  81704,   2179,  1937
018,2004,01,2004-01,   9696, 12.115,  4048,  18022,  64961,   2769,  2093
019,2004,02,2004-02,  10047, 11.743,  3110,  19331,  47484,   1256,  1863
020,2004,03,2004-03,   7330, 10.897,  2229,  14594,  35119,      0,  1378
021,2004,04,2004-04,   8288, 11.037,  1521,   9212,  27428,      0,  1057
022,2004,05,2004-05,   5092, 11.034,  1194,0,  28622,      0,   834
023,2004,06,2004-06,   4210, 12.089,  1178,0,  29795,      5,   892
024,2004,07,2004-07,   2643, 14.228,  1714,0,  31496,     13,   990
025,2004,08,2004-08,    704, 15.060,  2320,0,  33792,     24,  1511
026,2004,09,2004-09,     74, 14.596,  2781,0,  36573,      0,  1364
027,2004,10,2004-10,     83, 13.760,  3315,0,  39873,     15,  1356
028,2004,11,2004-11,     75, 13.685,  3843,0,  43585,    131,  1173
029,2004,12,2004-12,   7419, 13.437,  4398,0,  47845,    138,  1400
030,2005,01,2005-01,  11041, 12.492,  4987,  11379,  41436,     17,  1326
031,2005,02,2005-02,   9700, 10.936,  4363,  12027,  33772,      0,  1225
032,2005,03,2005-03,   8745, 10.934,  3526,   5701,  31597,      0,   979
033,2005,04,2005-04,   7443, 10.597,  3349,   9503,  25443,      0,   896
034,2005,05,2005-05,   6887, 11.169,  2598,0,  28041,      0,   619
035,2005,06,2005-06,   5663, 12.155,  2796,0,  30837,      0,   852
036,2005,07,2005-07,   4692, 14.320,  2988,0,  33818,      7,   918
037,2005,08,2005-08,    782, 15.136,  3182,0,  37000,      0,  1000
038,2005,09,2005-09,    129, 14.997,  3377,0,  40377,      0,  1059
039,2005,10,2005-10,     22, 14.142,  3522,0,  43022,    877,  1102
040,2005,11,2005-11,   1315, 13.522,  3745,0,  46751,     16,  1190
041,2005,12,2005-12,   5237, 13.274,  3924,0,  50289,    386,  1138
042,2006,01,2006-01,  10250, 11.915,  4109,   5674,  48587,    137,  1129
043,2006,02,2006-02,  10154, 11.411,  3697,  13783,  37727,    774,  1127
044,2006,03,2006-03,   7896, 11.527,  2928,   4660,  35995,      0,   831
045,2006,04,2006-04,   7241, 10.317,  2689,   3897,  34787,      0,   813
046,2006,05,2006-05,   7200, 11.121,  2464,0,  37249,      2,   902
047,2006,06,2006-06,   7383, 12.097,  2649,0,  39896,      2,   922
048,2006,07,2006-07,   4372, 14.309,  2694,0,  42585,      5,  1040
