id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2392, 13.967, 17001,0,  55595,   1066,  1190
001,2002,08,2002-08,   3182, 14.816, 16701,0,  71247,   1049,  1455
002,2002,09,2002-09,   3469, 14.507, 16730,0,  86884,   1093,  2158
003,2002,10,2002-10,   2865, 12.803, 16868,0, 103631,    121,  2448
004,2002,11,2002-11,   3149, 13.472, 16663,0, 119710,    584,  4137
005,2002,12,2002-12,   7510, 12.815, 15566,0, 125734,   9542,  2965
006,2003,01,2003-01,  14986, 12.309, 15192,  33170, 105333,   2423,  2208
007,2003,02,2003-02,  14420, 11.374, 10950,  14948,  95605,   5730,  1626
008,2003,03,2003-03,  13695, 11.054,  9367,  30664,  72950,   1358,  2347
009,2003,04,2003-04,  12634, 10.392,  6270,  11469,  64482,   3269,  1830
010,2003,05,2003-05,  10258, 11.096,  5425,0,  69834,     73,  1665
011,2003,06,2003-06,  13305, 12.203,  5454,0,  75215,     73,  1803
012,2003,07,2003-07,   7352, 14.437,  5424,0,  80232,    407,  1971
013,2003,08,2003-08,   7527, 14.923,  5333,0,  83031,   2534,  2209
014,2003,09,2003-09,   1070, 14.757,  5318,0,  88061,    288,  2064
015,2003,10,2003-10,    372, 14.301,  5297,0,  93264,     94,  1947
016,2003,11,2003-11,    684, 13.146,  5368,0,  98611,     21,  1955
017,2003,12,2003-12,   7584, 13.078,  5292,0, 101800,   2103,  1924
018,2004,01,2004-01,  15071, 12.115,  5359,  14459,  92648,     52,  2035
019,2004,02,2004-02,  13496, 11.743,  4567,  10835,  86139,    241,  2183
020,2004,03,2004-03,  17163, 10.897,  4107,  12900,  77325,     21,  1746
021,2004,04,2004-04,  14279, 11.037,  3622,  10618,  70322,      7,  1621
022,2004,05,2004-05,  14699, 11.034,  3004,0,  73304,     22,  1525
023,2004,06,2004-06,  10609, 12.089,  3111,0,  76385,     30,  1583
024,2004,07,2004-07,   6428, 14.228,  4438,0,  80721,    102,  1611
025,2004,08,2004-08,   2256, 15.060,  5725,0,  86043,    403,  1699
026,2004,09,2004-09,    976, 14.596,  7203,0,  93198,     48,  1629
027,2004,10,2004-10,    596, 13.760,  8543,0, 101217,    524,  1637
028,2004,11,2004-11,    479, 13.685,  9801,0, 110601,    417,  1767
029,2004,12,2004-12,  17096, 13.437, 11237,0, 121306,    532,  2008
030,2005,01,2005-01,  22430, 12.492, 12551,  34259,  98993,    605,  2013
