id, year, month, year_month, scotland, temperature, spawn, eat, left, died, done
000,2002,07,2002-07,   2384, 13.967, 17582,0,  57377,    288,  2124
001,2002,08,2002-08,   3200, 14.816, 17359,0,  73742,    994,  2535
002,2002,09,2002-09,   3280, 14.507, 17234,0,  89057,   1919,  1941
003,2002,10,2002-10,   2087, 12.803, 17163,0, 106109,    111,  1980
004,2002,11,2002-11,   2422, 13.472, 16341,0, 116434,   6016,  2110
005,2002,12,2002-12,   5052, 12.815, 14895,0, 120285,  11044,  2535
006,2003,01,2003-01,  13763, 12.309, 13197,  22932,  99003,  11547,  2792
007,2003,02,2003-02,  12084, 11.374,  9655,  32491,  68387,   7780,  2104
008,2003,03,2003-03,  10427, 11.054,  6724,  13507,  60652,    952,  1747
009,2003,04,2003-04,  10160, 10.392,  5441,  15611,  49200,   1282,  1652
010,2003,05,2003-05,   9435, 11.096,  4138,0,  53292,     46,  1365
011,2003,06,2003-06,   9753, 12.203,  4099,0,  57362,     29,  1407
012,2003,07,2003-07,   6177, 14.437,  4020,0,  59278,   2104,  1440
013,2003,08,2003-08,   4835, 14.923,  3958,0,  61550,   1686,  1561
014,2003,09,2003-09,    278, 14.757,  3860,0,  62928,   2482,  2114
015,2003,10,2003-10,     45, 14.301,  3820,0,  66734,     14,  1404
016,2003,11,2003-11,    151, 13.146,  3841,0,  69977,    598,  1387
017,2003,12,2003-12,   2851, 13.078,  3637,0,  72043,   1571,  1439
018,2004,01,2004-01,   9188, 12.115,  3705,  21328,  53947,    473,  1481
019,2004,02,2004-02,   8466, 11.743,  2638,  13064,  43261,    260,  1178
020,2004,03,2004-03,   6238, 10.897,  2060,   8769,  36552,      0,   843
021,2004,04,2004-04,   8760, 11.037,  1747,   4212,  34087,      0,   772
022,2004,05,2004-05,   5612, 11.034,  1499,0,  35586,      0,   766
023,2004,06,2004-06,   5080, 12.089,  1528,0,  37107,      7,   844
024,2004,07,2004-07,   2979, 14.228,  2202,0,  39299,     10,   959
025,2004,08,2004-08,    756, 15.060,  2892,0,  42163,     28,  1212
026,2004,09,2004-09,     95, 14.596,  3598,0,  45761,      0,  1625
027,2004,10,2004-10,     95, 13.760,  4263,0,  49749,    275,  1173
028,2004,11,2004-11,     42, 13.685,  4817,0,  53700,    866,  1384
029,2004,12,2004-12,   8727, 13.437,  5508,0,  58883,    325,  1283
030,2005,01,2005-01,  12665, 12.492,  6164,   8037,  56879,    131,  1868
031,2005,02,2005-02,  12838, 10.936,  5930,  13608,  48948,    253,  1233
032,2005,03,2005-03,  12051, 10.934,  5033,   8985,  44996,      0,   929
033,2005,04,2005-04,  10097, 10.597,  4594,   8716,  40874,      0,   869
034,2005,05,2005-05,  10498, 11.169,  4087,0,  44961,      0,   818
035,2005,06,2005-06,   8485, 12.155,  4468,0,  49428,      1,  1135
036,2005,07,2005-07,   7341, 14.320,  4746,0,  54169,      5,  1308
037,2005,08,2005-08,   1286, 15.136,  5037,0,  59059,    147,  1352
038,2005,09,2005-09,    248, 14.997,  5226,0,  62436,   1849,  1603
039,2005,10,2005-10,     36, 14.142,  5060,0,  62570,   4926,  1238
040,2005,11,2005-11,   2105, 13.522,  5356,0,  67661,    265,  1741
041,2005,12,2005-12,   6293, 13.274,  5571,0,  71770,   1462,  2050
042,2006,01,2006-01,  12069, 11.915,  5664,  21036,  54904,   1494,  1861
043,2006,02,2006-02,   9465, 11.411,  4166,  16967,  41609,    494,  1310
044,2006,03,2006-03,   7632, 11.527,  3073,   8560,  36122,      0,   934
045,2006,04,2006-04,   6457, 10.317,  2616,   9165,  29572,      1,  1181
046,2006,05,2006-05,   5635, 11.121,  2123,0,  31692,      3,  1363
047,2006,06,2006-06,   5872, 12.097,  2192,0,  33882,      2,  1545
