x,y,n,type,month
546.5306038047974,271.8759305210918,2418,orig,2
580.8668953687821,252.11355060034305,2915,moved,2
589.989683860233,238.54975041597336,3005,moved,1
562.0238198354266,255.33217843222175,2309,moved,3
560.4883370955606,263.234762979684,1329,moved,4
559.2417285617826,272.83119513842,1481,moved,5
573.3543624161074,266.7812080536913,2235,moved,6
561.4875672043011,240.158938172043,2976,moved,7
572.8048012593467,227.827626918536,2541,moved,8
564.8273062730627,255.66273062730627,1355,orig,1
540.8439667128988,282.82766990291265,2884,orig,3
540.3314789058878,289.9494668521094,2157,orig,4
551.4036520903412,284.13358962037483,2081,orig,5
572.8708333333333,268.3796296296296,2160,orig,6
560.2974828375286,262.1807780320366,1311,orig,7
588.314705882353,247.77426470588236,1360,orig,8
